CNTYVTD,VTDKEY,BellD_20P_U.S. Sen,CooperD_20P_U.S. Sen,EdwardsD_20P_U.S. Sen,FosterD_20P_U.S. Sen,GarciaD_20P_U.S. Sen,HarrisD_20P_U.S. Sen,HegarD_20P_U.S. Sen,HernandezD_20P_U.S. Sen,HunterD_20P_U.S. Sen,OceguedaD_20P_U.S. Sen,RamirezD_20P_U.S. Sen,WestD_20P_U.S. Sen
0390051,1165,54,18,11,1,5,11,63,24,8,2,28,13
0390052,1166,51,14,22,3,11,12,40,38,4,3,28,24
0390053,1167,79,58,49,2,8,21,29,43,9,0,36,66
0390054,1168,128,49,67,3,10,22,65,55,7,6,61,71
0390055,1169,55,14,10,2,7,10,23,22,5,0,26,20
0390056,1170,94,20,19,2,8,15,27,41,1,1,56,26
0390057,1171,11,2,4,0,0,2,10,12,0,0,7,2
0390058,1172,104,56,89,4,17,31,71,67,5,2,56,88
0390059,1173,86,34,76,2,9,22,46,50,9,1,36,65
0390060,1174,144,35,86,4,21,30,117,66,15,5,81,96
0390061,1175,14,5,4,0,2,5,11,7,1,0,11,2
0390062,1176,109,45,60,2,16,23,64,53,14,1,56,89
0390063,1177,191,78,93,2,10,29,42,62,19,4,52,118
0390064,1178,19,8,7,0,1,3,2,7,0,0,10,7
0390065,1179,44,10,19,3,3,8,26,23,3,2,21,10
0390066,1180,97,39,115,4,8,23,53,53,10,6,52,86
0390067,1181,68,40,72,2,13,14,29,44,12,2,35,82
0390068,1182,69,35,47,1,8,17,24,34,6,1,30,39
0390069,1183,70,33,79,0,8,22,30,41,6,1,36,57
0390070,1184,87,50,74,3,14,23,38,52,7,0,49,63
0390071,1185,30,15,30,1,2,3,10,17,2,1,14,31
0390072,1186,82,32,73,1,9,18,43,46,10,1,34,63
0390073,1187,20,8,13,0,3,5,5,14,3,2,9,11
0390074,1188,2,1,1,0,1,2,2,3,0,0,4,1
0390075,1189,37,10,7,0,10,10,25,30,7,1,23,12
0390076,1190,14,4,6,1,0,4,14,9,2,0,9,3
0390077,1191,54,11,4,1,11,15,24,36,8,2,42,10
0390078,1192,68,35,33,1,8,16,20,28,4,1,24,26
0390079,1193,16,11,5,1,2,3,3,6,1,1,4,4
0390080,1194,29,4,7,0,3,5,19,16,1,0,17,5
0410001,1195,4,4,10,4,7,4,13,11,1,2,21,9
0410002,1196,8,5,12,7,10,10,45,21,9,6,53,28
0410003,1197,2,0,4,4,5,7,9,10,4,1,17,16
0410004,1198,4,11,12,26,6,15,2,27,11,10,43,48
0410005,1199,4,1,6,4,4,8,9,14,2,0,29,10
0410006,1200,3,1,1,2,3,6,13,5,3,0,13,3
0410007,1201,1,2,1,3,1,2,10,6,4,1,12,6
0410008,1202,10,3,15,4,17,12,42,10,3,9,47,21
0410009,1203,9,2,12,3,9,4,43,17,3,4,37,17
0410010,1204,13,9,24,15,25,14,48,28,10,8,71,39
0410011,1205,8,11,24,9,29,18,34,32,12,5,97,27
0410012,1206,16,6,35,21,32,26,67,44,17,12,115,59
0410013,1207,7,3,8,3,16,10,35,15,7,1,54,25
0410014,1208,8,6,7,12,16,20,10,33,4,9,55,26
0410015,1209,10,2,10,10,8,8,30,14,8,4,32,23
0410016,1210,5,2,4,4,8,8,13,21,0,6,36,4
0410017,1211,10,5,23,11,18,18,47,39,9,11,92,37
0410018,1212,0,5,4,10,4,5,3,11,2,3,21,16
0410019,1213,0,0,3,5,2,0,1,2,1,0,7,4
0410020,1214,24,9,23,10,75,36,46,84,10,21,165,21
0410021,1215,8,6,9,5,30,14,20,41,6,5,66,7
0410022,1216,2,0,3,3,2,3,5,6,0,1,9,2
0410023,1217,0,0,0,0,0,0,2,0,0,0,0,0
0410024,1218,11,1,17,10,10,8,50,24,3,7,67,42
0410025,1219,8,2,13,14,7,7,3,15,9,0,16,48
0410026,1220,7,4,13,19,15,19,50,33,11,10,68,38
0410027,1221,9,3,10,4,11,8,26,10,4,5,29,20
0410028,1222,0,0,1,0,0,1,1,1,0,0,3,1
0410029,1223,2,1,7,8,1,4,18,9,6,1,19,12
0410030,1224,8,10,10,19,19,20,17,30,6,6,59,20
0410031,1225,17,6,19,8,25,21,65,29,10,4,96,33
0410032,1226,1,1,1,1,1,0,4,5,1,0,18,3
0410033,1227,8,2,16,9,13,9,13,17,2,6,42,14
0410034,1228,7,4,16,3,25,20,26,23,7,3,58,21
0410035,1229,10,5,26,8,50,28,40,73,5,12,143,18
0410036,1230,22,13,37,23,32,28,77,38,11,11,99,39
0410037,1231,0,0,0,0,0,0,1,0,1,1,1,0
0410038,1232,1,1,1,2,0,3,1,2,5,2,5,9
0410039,1233,9,0,11,7,10,7,35,18,6,6,46,24
0410040,1234,23,6,18,12,23,10,72,39,5,7,107,53
0410041,1235,9,1,9,3,2,4,28,10,2,2,22,18
0410042,1236,0,0,0,0,0,0,0,0,0,0,0,0
0410043,1237,0,0,0,0,0,0,0,4,0,0,0,0
0410044,1238,0,1,2,0,0,1,0,0,0,0,0,0
0410045,1239,0,0,1,0,0,0,1,1,0,0,1,0
0410046,1240,3,1,1,2,1,1,5,5,0,0,7,4
0410047,1241,1,1,2,0,0,0,1,6,3,0,12,1
0410048,1242,0,0,1,1,1,1,2,2,1,0,2,0
0410049,1243,1,1,1,2,7,4,5,14,0,0,16,1
0410050,1244,0,0,0,0,0,0,0,0,0,0,0,0
0410051,1245,0,0,0,0,0,0,0,0,0,0,0,0
0410052,1246,0,0,0,0,0,0,0,0,0,0,0,0
0410053,1247,0,0,3,0,0,0,3,2,0,1,1,0
0410054,1248,1,1,1,1,2,1,5,2,1,1,7,3
0410055,1249,11,7,17,8,25,19,41,32,10,8,75,21
0410056,1250,0,0,0,0,0,0,0,0,0,0,0,0
0410057,1251,0,1,0,2,3,0,4,1,0,1,9,5
0410058,1252,2,1,10,1,4,3,20,6,2,1,19,5
0410059,1253,1,0,0,0,0,0,0,0,0,0,0,0
0410060,1254,0,0,0,0,0,0,1,0,0,0,0,0
0410061,1255,0,0,0,0,0,1,0,0,0,0,2,0
0410062,1256,10,4,9,6,9,4,32,16,3,4,43,24
0410063,1257,5,3,7,4,4,8,29,10,1,4,41,18
0410064,1258,18,4,19,9,6,10,80,23,7,5,60,48
0410065,1259,0,0,0,1,1,1,1,1,0,0,2,1
0410066,1260,6,0,7,6,5,4,24,10,4,1,26,19
0410067,1261,1,2,3,1,3,2,8,2,0,1,4,1
0410068,1262,0,0,0,0,0,0,0,0,0,0,0,0
0410069,1263,11,6,30,8,9,21,46,25,4,3,72,29
0410070,1264,6,2,7,1,8,6,14,16,3,3,21,10
0410071,1265,1,0,0,1,0,0,3,2,1,0,2,2
0410072,1266,0,0,0,0,0,0,1,1,0,0,0,0
0410073,1267,8,5,15,11,11,13,42,20,7,8,42,24
0410074,1268,7,3,12,5,29,12,17,31,3,9,58,10
0410075,1269,8,5,18,4,24,17,28,28,7,4,86,20
0410076,1270,18,3,20,12,22,12,61,36,7,12,72,36
0410077,1271,0,1,1,2,4,1,5,2,0,0,13,3
0410078,1272,0,0,1,0,0,1,1,1,0,0,0,0
0410079,1273,0,0,2,0,1,0,2,0,0,0,5,2
0410080,1274,16,4,25,8,14,12,45,24,5,6,62,51
0410081,1275,0,0,0,0,0,2,0,1,2,0,3,1
0410082,1276,3,0,1,3,0,2,13,1,1,0,4,0
0410083,1277,0,0,0,0,0,0,0,0,0,0,0,0
0410084,1278,0,0,0,0,0,0,0,0,0,0,0,0
0410085,1279,0,0,0,0,0,0,0,0,0,0,0,0
0410087,1280,0,0,0,0,0,0,0,0,0,0,0,0
0410088,1281,12,7,14,8,9,15,49,22,2,8,63,30
0410089,1282,0,0,0,0,0,0,0,0,0,0,0,0
0410089,1283,0,0,0,0,0,0,0,0,0,0,0,0
0410090,1284,0,1,0,0,0,0,0,0,0,0,0,0
0410091,1285,0,0,0,0,0,0,0,0,0,0,0,0
0410091,1286,0,0,0,0,0,0,0,0,0,0,0,0
0410092,1287,0,0,0,0,0,0,0,0,0,0,0,0
0410093,1288,0,0,0,0,0,0,0,0,0,0,0,0
0410094,1289,0,0,0,0,0,0,0,0,0,0,0,0
0410095,1290,0,0,0,0,0,0,0,0,0,0,0,0
0410096,1291,0,0,0,0,0,0,0,0,0,0,0,0
0410097,1292,0,0,0,0,0,0,0,0,0,0,0,0
0410098,1293,0,0,0,0,0,0,0,0,1,0,0,0
0410099,1294,0,0,0,0,0,0,0,0,0,0,0,0
0410100,1295,5,4,16,6,4,10,23,14,4,1,37,20
0410101,1296,0,0,0,0,0,1,0,0,0,0,0,0
0410102,1297,0,0,0,0,0,0,0,0,0,0,0,0
0410103,1298,0,2,0,2,0,3,9,3,2,0,8,3
0410105,1299,0,0,0,0,0,0,1,0,0,0,4,0
0410106,1300,3,3,2,3,4,3,9,3,3,1,12,6
0410107,1301,2,1,2,1,1,2,5,2,1,1,6,3
0410108,1302,0,0,0,0,0,0,0,0,0,0,0,0
0410109,1303,0,0,0,0,0,0,0,0,0,0,0,0
0430001,1304,28,10,17,9,31,3,77,17,6,2,53,17
0430002,1305,20,6,12,5,42,6,66,27,7,1,43,8
0430003,1306,3,0,4,2,11,2,29,6,1,1,8,3
0430004,1307,20,3,11,8,51,9,60,19,6,2,47,11
0430005,1308,2,0,0,3,5,0,6,0,2,0,7,2
0430006,1309,10,5,8,1,29,1,32,7,1,1,17,4
0430007,1310,2,0,1,0,6,2,17,2,0,1,7,2
0430008,1311,7,0,10,8,29,2,21,25,7,6,25,4
0450001,1312,1,0,0,0,0,1,2,0,0,0,0,1
0450002,1313,0,1,0,0,2,0,1,1,0,0,0,2
0450003,1314,1,1,0,1,0,0,0,0,0,0,1,0
0450004,1315,0,0,4,1,1,1,3,2,0,0,1,1
0450006,1316,0,0,0,0,0,0,0,1,0,0,1,0
0470001,1317,18,13,59,4,69,7,14,41,20,1,117,12
0470002,1318,14,8,20,4,49,5,3,23,12,7,96,12
0470003,1319,17,13,36,10,47,8,11,30,16,8,107,10
0470004,1320,14,10,18,3,47,5,15,29,15,4,122,7
047003,1321,5,4,9,0,12,1,2,8,6,0,34,3
0490101,1322,9,0,2,2,12,4,13,4,2,1,5,9
0490105,1323,10,4,2,1,11,0,14,7,3,2,3,12
0490109,1324,1,0,0,0,0,0,0,0,0,0,0,0
0490113,1325,6,3,4,1,6,1,14,2,2,0,8,9
0490202,1326,3,3,2,1,15,1,7,3,1,1,3,6
0490204,1327,11,3,3,0,10,3,17,6,1,4,3,7
0490212,1328,5,2,0,0,4,0,4,3,1,0,1,4
0490214,1329,3,1,1,0,6,1,6,1,1,0,1,0
0490215,1330,0,1,1,0,0,0,2,0,0,0,0,3
0490303,1331,5,3,3,1,8,1,7,2,3,2,1,7
0490306,1332,9,1,4,1,7,0,12,2,2,0,7,1
0490307,1333,4,1,2,0,2,0,4,4,1,0,2,2
0490308,1334,2,1,0,1,3,0,2,0,1,0,0,3
0490316,1335,0,1,2,1,1,0,2,0,0,0,0,1
0490318,1336,4,3,5,2,5,3,14,1,4,1,4,5
0490410,1337,10,2,2,2,8,3,8,7,3,0,4,10
0490411,1338,5,2,2,1,12,0,10,3,2,0,2,6
0490417,1339,12,4,3,2,7,1,18,3,2,0,3,3
0510113,1340,2,5,0,1,5,0,7,2,0,0,1,4
0510114,1341,8,17,4,5,9,3,26,7,2,3,9,12
0510203,1342,1,0,1,0,2,2,9,0,0,0,0,5
0510204,1343,1,2,4,0,1,0,7,0,0,0,1,3
0510207,1344,1,5,9,4,1,3,4,0,2,0,2,6
0510211,1345,6,4,9,0,6,0,5,3,1,2,6,9
0510215,1346,4,1,3,0,5,1,2,1,0,1,5,3
0510301,1347,13,7,9,1,15,2,12,3,1,1,5,7
0510305,1348,1,2,4,0,6,0,10,1,0,0,1,7
0510308,1349,3,4,4,1,7,1,5,0,0,1,1,8
0510309,1350,6,7,2,2,4,3,11,4,1,0,0,7
0510406,1351,4,21,14,6,12,2,17,3,2,4,8,14
0510410,1352,8,11,13,1,10,6,19,4,2,2,4,12
0530001,1353,6,2,3,2,5,0,49,2,1,1,6,3
0530002,1354,16,7,10,4,18,3,105,12,5,0,16,12
0530003,1355,4,3,6,1,7,6,48,6,0,3,11,0
0530004,1356,23,2,16,4,16,1,167,5,0,2,14,6
0530005,1357,8,3,4,3,11,1,72,2,1,0,4,6
0530006,1358,3,3,3,0,7,0,42,3,0,0,4,2
0530007,1359,4,1,2,0,3,2,37,1,0,0,1,3
0530008,1360,7,5,1,0,0,0,57,0,0,1,3,3
0530009,1361,9,1,7,6,16,2,130,2,1,1,7,6
0530010,1362,12,2,5,0,6,0,85,0,0,0,11,5
0530011,1363,0,1,2,0,0,0,8,1,0,0,2,1
0530012,1364,9,4,7,0,10,3,62,8,1,1,10,3
0530013,1365,8,2,3,2,4,1,45,3,0,1,2,0
0530014,1366,2,0,4,0,2,0,18,2,1,0,1,1
0530015,1367,1,2,7,2,5,0,34,1,0,0,4,2
0530016,1368,2,1,2,0,0,0,24,1,1,0,1,0
0530017,1369,9,7,4,2,6,0,54,2,1,1,4,3
0530018,1370,11,1,4,4,7,1,70,1,2,1,3,2
0530019,1371,28,9,26,2,13,2,166,7,2,6,16,6
0530020,1372,17,5,15,2,28,4,185,13,4,3,17,10
0550100,1373,8,6,4,1,11,2,57,18,1,1,18,7
0550101,1374,10,4,8,3,16,3,46,18,1,1,9,8
0550102,1375,6,6,5,5,6,2,31,7,3,1,6,6
0550103,1376,22,11,17,15,36,9,172,41,3,4,46,27
0550104,1377,3,1,1,3,10,0,33,13,1,1,9,2
0550108,1378,9,5,8,1,17,2,43,17,2,3,19,7
0550111,1379,14,4,12,3,11,5,62,19,3,0,18,12
0550201,1380,1,9,7,8,8,2,41,10,3,2,11,3
0550202,1381,5,4,6,0,5,1,43,13,1,1,17,6
0550203,1382,3,2,5,1,9,3,52,2,0,0,9,5
0550204,1383,6,5,4,7,9,3,57,4,3,2,14,5
0550205,1384,2,0,4,1,2,0,10,0,0,0,0,1
0550206,1385,5,2,9,3,8,2,37,10,0,3,7,3
0550300,1386,7,5,9,4,15,2,47,15,2,2,18,5
0550301,1387,8,5,8,3,14,2,47,12,3,2,15,4
0550302,1388,6,2,3,3,16,0,47,19,1,0,10,6
0550303,1389,1,4,1,1,5,1,40,13,1,2,8,2
0550305,1390,5,2,8,0,6,0,33,9,3,0,6,2
0550306,1391,5,0,2,1,7,2,30,17,0,1,7,3
0550400,1392,6,5,5,1,8,1,43,6,2,2,7,6
0550401,1393,9,3,10,4,17,4,37,21,2,2,24,10
0550402,1394,11,5,10,3,21,3,62,25,2,3,25,10
0550404,1395,8,6,7,4,12,4,52,19,1,3,11,10
0550405,1396,6,4,4,1,4,2,33,3,2,2,8,3
0570001,1397,9,5,1,0,23,5,16,38,6,7,22,2
0570002,1398,8,3,3,2,11,2,11,6,3,2,6,1
0570003,1399,9,0,0,0,3,1,8,6,0,2,4,0
0570004,1400,24,5,4,7,28,4,13,20,4,10,18,4
0570005,1401,21,2,6,7,20,4,27,22,4,4,3,5
0570006,1402,6,4,0,2,7,1,8,3,1,0,3,0
0570007,1403,22,6,8,2,24,6,36,23,10,8,23,0
0570008,1404,9,2,1,0,1,2,8,1,0,0,1,0
0570009,1405,12,3,2,3,4,2,8,7,1,4,5,0
0570010,1406,7,2,2,2,6,1,9,5,2,1,5,2
0570011,1407,9,3,2,0,4,3,12,5,3,0,3,2
0590001,1408,1,0,3,4,4,0,9,2,1,0,3,1
0590002,1409,5,1,3,3,8,1,4,3,5,3,2,2
0590003,1410,9,0,3,5,6,3,8,3,3,2,1,3
0590004,1411,4,1,2,1,2,1,8,0,3,1,1,3
0590005,1412,1,0,0,0,0,1,1,0,0,0,3,1
0590006,1413,2,1,1,1,5,0,3,1,1,2,4,2
0590007,1414,1,0,0,1,1,0,8,1,1,1,0,0
0590008,1415,4,1,3,1,5,0,8,3,1,0,1,2
0610001,1416,15,6,12,5,26,12,33,17,4,13,38,12
0610002,1417,4,2,8,4,6,3,17,3,2,3,10,2
0610003,1418,26,28,37,14,70,18,60,68,5,40,95,13
0610004,1419,34,31,38,21,80,26,70,54,8,27,85,22
0610005,1420,24,20,25,11,59,22,63,41,0,25,67,9
0610006,1421,8,14,4,5,19,4,15,8,3,12,23,2
0610007,1422,22,26,19,13,56,12,46,39,7,28,58,15
0610008,1423,1,6,5,2,14,7,9,9,2,5,16,1
0610009,1424,17,34,19,10,54,19,31,34,6,20,67,19
0610010,1425,9,28,15,10,48,13,23,44,2,22,61,1
0610011,1426,11,22,17,12,44,7,33,36,1,24,53,9
0610012,1427,26,23,16,17,77,25,58,54,8,38,90,22
0610013,1428,5,6,2,1,13,3,10,9,4,8,21,5
0610014,1429,18,31,26,12,48,17,48,27,5,17,65,5
0610015,1430,31,22,27,13,59,9,68,38,5,25,83,17
0610016,1431,9,7,4,0,20,4,16,7,0,4,15,2
0610017,1432,28,21,21,14,83,17,54,48,5,47,60,5
0610018,1433,12,8,16,8,45,10,33,32,0,26,73,4
0610019,1434,10,13,9,7,52,12,36,33,0,18,61,5
0610020,1435,11,10,8,7,23,4,29,12,2,7,31,4
0610021,1436,2,3,3,2,25,4,11,9,1,5,24,2
0610022,1437,17,15,10,4,66,14,31,39,3,17,60,10
0610023,1438,1,2,1,1,3,3,6,2,1,0,4,1
0610024,1439,5,18,5,6,23,11,13,22,5,16,37,3
0610025,1440,3,5,4,1,24,4,20,17,2,10,19,0
0610026,1441,12,10,10,7,33,6,41,27,3,15,58,6
0610027,1442,20,35,14,15,60,41,42,32,2,15,62,13
0610028,1443,16,14,13,6,30,14,39,22,4,8,60,10
0610029,1444,12,7,12,7,38,9,43,33,4,16,44,7
0610030,1445,7,8,9,3,14,4,19,14,3,3,22,3
0610031,1446,0,1,3,2,7,5,12,5,0,2,7,1
0610032,1447,15,13,19,4,42,21,53,35,6,13,73,7
0610033,1448,1,3,3,1,10,4,9,10,1,2,13,3
0610034,1449,12,6,11,3,17,3,24,19,6,10,33,6
0610035,1450,10,4,5,4,20,14,37,19,2,6,37,6
0610036,1451,9,8,22,7,37,11,62,29,2,10,72,17
0610037,1452,12,27,11,9,47,18,36,39,3,15,59,10
0610038,1453,15,9,4,4,34,2,34,13,5,9,41,16
0610039,1454,10,6,4,2,20,12,17,16,3,11,37,1
0610040,1455,20,22,24,10,53,7,55,35,4,31,55,8
0610041,1456,29,25,15,5,79,30,77,65,10,30,103,10
0610042,1457,9,11,6,2,24,4,12,14,1,5,32,3
0610043,1458,4,4,4,6,20,4,13,17,2,6,19,4
0610044,1459,39,7,27,11,57,12,94,47,5,17,103,20
0610045,1460,12,31,18,4,44,15,14,40,4,31,60,5
0610046,1461,20,54,26,15,90,21,68,77,7,38,130,14
0610047,1462,10,18,12,10,48,12,26,25,3,23,60,12
0610048,1463,30,30,33,19,81,24,73,67,12,36,79,26
0610049,1464,25,23,15,7,69,16,49,27,5,26,77,12
0610050,1465,21,13,8,6,49,8,43,18,5,25,55,7
0610051,1466,2,10,4,6,17,5,9,6,0,8,21,0
0610052,1467,28,10,17,11,37,6,85,17,6,5,62,10
0610053,1468,23,42,24,12,67,18,29,49,6,29,68,6
0610054,1469,43,59,46,27,133,61,102,94,16,68,159,25
0610055,1470,20,13,18,8,71,13,60,50,3,19,103,6
0610056,1471,13,12,20,6,31,11,48,34,5,10,50,10
0610057,1472,3,3,2,1,5,4,5,6,1,5,7,1
0610058,1473,22,15,11,4,49,14,38,28,1,18,59,5
0610059,1474,4,2,6,1,10,7,11,9,2,5,12,6
0610060,1475,6,12,9,4,29,6,17,19,4,11,27,2
0610061,1476,23,20,22,6,54,8,52,49,6,33,92,15
0610062,1477,28,38,35,23,92,26,71,44,5,47,105,17
0610063,1478,13,20,12,10,52,12,53,32,7,20,96,22
0610064,1479,1,3,5,0,9,2,8,5,0,2,10,1
0610065,1480,18,15,9,12,37,13,43,28,5,14,47,10
0610066,1481,25,21,18,9,37,7,65,27,4,18,53,5
0610067,1482,34,22,24,15,56,18,107,32,10,16,89,21
0610068,1483,14,31,10,8,52,19,12,33,5,14,40,3
0610069,1484,15,46,33,15,81,25,46,60,9,37,96,25
0610070,1485,4,16,7,5,21,12,17,24,3,11,27,2
0610071,1486,23,44,26,16,85,26,44,59,10,46,94,7
0610072,1487,23,33,38,14,84,26,67,65,5,36,87,11
0610073,1488,31,48,59,28,112,36,92,81,10,65,156,26
0610074,1489,25,58,39,32,144,58,40,70,6,69,106,20
0610075,1490,17,31,23,17,81,34,23,38,2,54,73,11
0610076,1491,34,45,28,17,92,34,91,58,3,50,140,17
0610077,1492,18,49,22,13,59,18,23,39,7,30,56,10
0610078,1493,20,15,19,7,55,11,57,44,4,23,74,2
0610079,1494,20,19,16,12,54,18,64,31,5,16,97,7
0610080,1495,24,24,20,10,53,22,65,34,2,18,84,13
0610081,1496,12,13,9,9,29,7,36,17,3,14,64,4
0610082,1497,14,26,15,12,38,21,25,24,3,23,40,7
0610083,1498,11,12,18,6,45,15,41,30,5,18,56,5
0610084,1499,17,11,15,6,36,7,56,22,6,14,73,8
0610085,1500,17,10,18,8,49,16,61,42,4,23,73,8
0610086,1501,8,16,11,7,25,11,10,12,1,8,32,4
0610087,1502,7,6,12,6,25,3,31,18,2,7,47,7
0610088,1503,26,34,21,5,67,17,32,48,5,32,75,9
0610089,1504,13,12,10,5,29,7,26,20,1,10,32,9
0610090,1505,4,6,2,1,15,3,11,6,1,4,9,2
0610091,1506,8,9,14,4,37,6,29,27,1,15,34,6
0610092,1507,0,0,0,1,5,1,8,2,0,2,7,0
0610093,1508,3,1,0,0,14,3,5,6,1,1,6,0
0610094,1509,10,13,7,4,24,12,17,18,3,12,33,6
0610095,1510,2,3,1,2,12,4,5,8,1,4,12,0
0610096,1511,23,18,8,8,46,11,83,22,3,7,86,8
0610097,1512,2,5,3,5,17,7,29,13,1,10,30,6
0610098,1513,28,41,38,18,99,35,52,68,8,49,147,10
0610099,1514,4,2,4,4,9,2,7,3,2,3,7,0
0610100,1515,26,35,32,15,77,19,66,59,7,36,114,13
0610101,1516,8,12,9,4,24,9,21,20,2,16,27,6
0631001,1517,14,16,29,2,10,3,23,6,0,3,9,32
0632002,1518,11,16,19,4,11,1,45,6,3,1,9,17
0633003,1519,18,26,26,5,30,10,32,2,1,5,6,41
0634004,1520,10,5,34,1,13,3,22,1,0,0,5,20
0650101,1521,6,1,2,1,3,0,1,0,0,0,0,0
0650102,1522,0,0,0,0,0,0,0,0,0,0,0,0
0650103,1523,4,0,4,0,3,2,2,2,0,0,0,0
0650201,1524,4,2,1,2,4,2,4,1,1,0,4,1
0650301,1525,8,0,2,1,3,0,6,0,0,1,3,2
0650302,1526,2,1,0,0,3,0,1,0,0,0,1,0
0650401,1527,7,0,4,0,1,3,3,1,0,0,1,0
0650402,1528,2,0,0,0,0,0,2,2,0,0,0,1
0670001,1529,24,25,25,9,11,0,39,3,9,1,7,22
0670002,1530,4,5,3,2,4,0,4,0,0,0,0,9
0670004,1531,4,8,7,1,4,2,8,2,2,0,2,6
0670005,1532,11,2,8,3,7,3,20,2,5,1,1,9
0670006,1533,1,5,2,0,4,0,1,0,2,0,0,3
0670007,1534,10,4,9,1,5,2,20,1,7,2,6,13
0670009,1535,11,7,13,5,1,1,16,4,2,1,2,6
0670011,1536,6,6,8,4,11,0,6,2,2,0,5,7
0670012,1537,6,7,7,0,5,0,11,6,2,1,1,8
0670014,1538,11,11,9,3,6,5,14,4,5,0,4,12
0670015,1539,0,1,5,0,0,0,3,0,0,0,0,2
0670016,1540,0,0,2,0,1,0,4,3,0,0,1,0
0670017,1541,8,16,13,6,6,4,26,5,3,1,10,14
0670018,1542,2,0,3,1,1,0,2,1,0,1,0,0
0670019,1543,3,1,0,1,2,0,3,0,0,1,1,0
0670021,1544,1,2,0,0,0,0,1,0,0,0,0,1
067013,1545,17,15,17,11,8,1,18,3,5,2,3,32
067020,1546,3,0,0,0,2,0,0,1,0,0,1,0
0690101,1547,4,0,2,3,1,2,6,4,0,0,3,1
0690105,1548,0,0,0,0,1,3,3,0,0,0,0,0
0690201,1549,4,3,5,2,1,7,3,5,1,0,5,0
0690206,1550,0,0,0,0,0,0,0,0,0,0,0,0
0690301,1551,4,3,1,1,3,4,5,5,0,4,5,3
0690307,1552,1,0,0,0,0,0,1,0,0,0,0,0
0690401,1553,0,2,0,1,1,1,3,5,1,0,4,0
0690408,1554,1,1,1,2,4,0,4,7,0,0,0,0
0710001,1555,1,1,1,6,6,0,2,2,0,0,0,0
0710002,1556,0,2,3,14,5,0,3,1,1,4,0,1
0710003,1557,4,0,1,11,1,0,5,1,1,1,3,1
0710004,1558,18,7,17,5,16,1,31,5,1,4,11,5
0710005,1559,7,5,4,5,12,1,31,4,2,1,13,5
0710006,1560,4,1,3,18,8,1,14,3,0,2,4,2
0710007,1561,7,5,14,7,11,2,24,4,0,4,8,2
0710008,1562,7,7,3,3,5,1,15,2,0,3,2,3
0710009,1563,0,0,2,1,0,0,3,0,1,2,0,1
0710010,1564,2,3,5,2,4,0,12,2,0,2,6,2
0710011,1565,12,8,16,7,14,2,23,1,0,6,6,4
0710012,1566,4,5,5,20,4,0,7,1,0,1,4,10
0710013,1567,0,0,0,0,0,0,0,0,0,0,0,0
0710014,1568,4,1,1,10,6,1,6,0,1,1,3,1
0710015,1569,12,17,15,11,35,1,22,8,1,16,10,12
0710016,1570,6,6,5,3,7,1,20,1,1,5,2,3
0710017,1571,2,2,2,2,3,1,7,1,1,2,1,1
0710018,1572,4,3,3,5,4,0,15,2,0,3,5,1
0710019,1573,5,7,7,4,5,1,14,4,0,3,7,3
0730012,1574,7,7,3,2,1,1,11,1,1,2,3,5
0730013,1575,4,1,1,1,2,0,8,1,1,0,1,2
0730014,1576,8,1,5,4,3,0,11,2,3,1,6,1
0730015,1577,29,14,13,12,10,12,26,1,5,1,15,24
0730022,1578,4,6,1,7,0,2,7,1,4,1,2,6
0730023,1579,6,4,6,7,5,1,8,1,3,0,1,3
0730024,1580,17,7,11,8,4,6,24,3,4,0,5,14
0730025,1581,6,2,6,9,2,4,8,0,0,1,3,4
0730026,1582,4,15,11,10,6,2,8,2,3,3,9,11
0730027,1583,7,5,6,2,9,1,10,4,2,0,7,17
0730028,1584,2,0,3,1,2,1,6,1,0,0,1,2
0730032,1585,7,2,3,1,3,1,9,1,4,0,4,5
0730033,1586,8,6,13,3,12,3,21,2,0,0,16,20
0730034,1587,14,5,3,2,2,1,11,1,1,0,5,6
0730035,1588,12,10,5,5,0,3,10,1,1,0,1,8
0730036,1589,15,5,8,2,3,2,19,3,2,1,12,7
0730037,1590,4,2,2,3,0,0,9,3,1,1,3,5
0730038,1591,2,2,1,0,3,1,6,0,1,0,2,6
0730042,1592,21,23,7,19,13,12,14,0,7,4,6,40
0730043,1593,13,11,9,6,5,4,16,1,2,1,9,10
0730044,1594,4,2,1,2,2,0,7,0,2,1,6,11
0730045,1595,14,3,4,4,2,0,4,1,0,1,3,5
0730046,1596,7,3,5,3,3,0,7,2,1,0,3,7
0730047,1597,1,0,1,2,1,0,0,0,0,0,0,0
0730048,1598,4,3,3,3,0,1,4,0,1,0,2,0
0750101,1599,3,1,3,5,4,1,2,5,2,0,3,2
0750201,1600,2,5,3,5,4,0,1,1,0,0,3,0
0750301,1601,3,0,4,2,1,2,1,2,0,0,2,0
0750401,1602,5,2,6,1,7,2,6,2,1,2,4,1
0770001,1603,9,2,7,3,4,4,10,0,0,0,4,7
0770006,1604,6,1,3,0,4,0,6,2,2,1,0,2
0770008,1605,6,1,4,1,7,0,2,1,1,1,2,2
0770009,1606,1,0,1,1,2,2,2,0,1,0,0,1
0770010,1607,1,0,0,0,2,1,4,0,0,0,1,1
0770011,1608,1,2,3,0,3,0,1,0,1,0,1,1
