CNTYVTD,VTDKEY,BellD_20P_U.S. Sen,CooperD_20P_U.S. Sen,EdwardsD_20P_U.S. Sen,FosterD_20P_U.S. Sen,GarciaD_20P_U.S. Sen,HarrisD_20P_U.S. Sen,HegarD_20P_U.S. Sen,HernandezD_20P_U.S. Sen,HunterD_20P_U.S. Sen,OceguedaD_20P_U.S. Sen,RamirezD_20P_U.S. Sen,WestD_20P_U.S. Sen
4530439,9049,34,13,34,8,87,11,169,48,2,8,180,32
4530445,9050,47,11,44,5,72,9,266,39,2,5,180,42
4530446,9051,60,16,53,10,121,13,378,53,2,6,277,39
4530447,9052,24,6,27,2,47,5,118,21,3,2,97,12
4530448,9053,41,13,37,7,115,5,230,60,2,4,234,38
4530449,9054,57,14,58,6,108,7,363,53,2,6,247,54
4530450,9055,75,15,48,5,160,6,442,71,6,7,319,68
4530451,9056,25,7,27,1,59,3,151,23,4,3,104,23
4530452,9057,41,8,47,2,85,8,221,36,7,5,148,36
4530453,9058,34,11,33,3,74,8,215,30,7,3,140,29
4530454,9059,36,10,46,8,92,4,219,39,4,3,153,22
4530455,9060,23,5,29,4,60,4,138,26,2,0,97,16
4530456,9061,33,17,47,6,96,9,152,39,5,2,113,30
4530460,9062,16,6,13,4,56,7,72,34,4,5,88,17
4530461,9063,28,14,19,6,88,10,123,51,5,9,116,31
4530462,9064,42,20,35,8,133,16,156,85,6,12,152,35
4530463,9065,16,9,13,3,48,6,68,24,3,5,56,19
4530464,9066,24,9,33,3,71,5,142,36,2,2,119,26
4530465,9067,31,12,39,4,109,3,87,49,2,8,99,15
4530466,9068,26,9,27,1,100,8,128,54,5,4,129,27
4530467,9069,31,15,26,6,99,7,143,56,3,8,126,45
4530470,9070,34,7,36,3,85,14,156,56,4,7,115,34
4530471,9071,47,16,45,3,124,10,233,61,6,6,160,46
4530472,9072,42,13,46,7,63,10,333,45,5,2,89,52
4530473,9073,22,7,23,2,65,6,121,36,2,3,87,22
4530474,9074,8,4,10,2,24,2,51,15,1,3,30,7
4530475,9075,12,5,5,1,23,2,46,24,0,3,25,11
4530480,9076,11,5,12,0,23,1,50,15,0,1,44,14
4530481,9077,26,18,26,4,87,16,133,55,3,13,60,42
4530482,9078,15,6,17,3,47,5,94,28,3,3,75,17
4530483,9079,29,16,29,7,94,13,152,53,7,9,94,38
4530490,9080,25,16,30,3,43,12,125,37,3,3,60,38
4530491,9081,48,27,56,10,110,16,203,55,6,13,155,106
4530491,9082,0,0,0,0,0,0,0,0,0,0,0,0
4550001,9083,8,1,5,2,1,0,7,0,0,0,1,3
4550002,9084,8,2,1,1,1,3,6,0,0,0,1,1
4550003,9085,2,1,2,0,1,1,4,2,0,0,0,0
4550004,9086,0,1,0,0,2,0,2,4,0,0,1,0
4550005,9087,3,1,1,0,0,0,2,4,0,0,0,0
4550006,9088,0,0,0,0,2,0,1,0,0,0,0,0
4550007,9089,3,0,1,0,2,0,1,0,0,0,0,0
4550008,9090,6,0,0,0,0,0,3,0,0,0,0,0
4550009,9091,9,0,3,2,0,0,9,3,0,0,2,1
4550010,9092,3,0,0,0,0,1,6,0,1,0,0,0
4550011,9093,15,13,3,8,9,2,13,9,0,0,3,9
4550012,9094,1,0,1,0,1,0,1,2,0,2,0,0
4550014,9095,7,4,3,1,2,2,10,2,1,0,3,2
4550015,9096,2,0,0,0,4,0,0,0,0,0,1,0
4550016,9097,9,2,7,2,6,1,6,1,2,0,2,5
4550017,9098,11,5,10,4,11,2,12,5,1,0,2,6
4550018,9099,6,1,3,0,4,1,3,2,0,0,1,2
4550019,9100,16,2,5,2,11,0,11,2,0,1,5,4
4550020,9101,1,1,2,0,0,0,1,0,0,0,0,0
4550021,9102,6,0,2,0,2,1,1,0,0,0,0,0
4570001,9103,2,1,3,0,4,0,4,0,1,0,1,1
4570002,9104,5,5,8,1,13,1,10,3,5,0,11,10
4570003,9105,6,13,4,4,12,2,14,3,7,0,11,8
4570004,9106,9,6,7,3,2,1,14,1,2,0,7,2
4570005,9107,6,0,1,0,1,0,0,0,0,1,2,5
4570006,9108,3,2,4,0,1,0,2,0,1,0,2,0
4570007,9109,2,0,0,0,1,1,0,1,0,1,0,0
4570008,9110,3,4,0,0,1,0,1,0,0,0,1,1
4570009,9111,2,1,3,1,2,0,4,1,1,0,0,0
4570010,9112,10,2,4,0,2,6,7,4,2,0,9,2
4570011,9113,0,0,0,0,1,0,0,0,0,0,1,0
4570013,9114,1,0,4,1,5,0,2,1,1,1,6,1
4570014,9115,14,5,4,4,7,1,3,1,1,0,5,0
4570015,9116,5,1,2,2,3,0,3,1,2,0,3,1
4570016,9117,3,2,2,2,4,0,2,2,1,0,2,1
4570017,9118,5,3,5,3,3,0,4,0,2,1,9,7
4570018,9119,10,3,6,3,4,0,14,1,0,0,5,2
4590001,9120,11,8,12,6,8,2,12,2,4,1,3,10
4590002,9121,3,5,8,2,6,4,16,2,3,2,6,4
4590003,9122,4,4,6,1,6,1,11,0,3,1,2,2
4590004,9123,5,5,11,2,6,0,3,0,3,1,3,10
4590005,9124,4,3,5,2,4,2,5,2,3,0,1,5
4590006,9125,6,4,8,1,4,1,3,2,3,1,5,9
4590007,9126,19,15,23,4,14,4,23,1,10,0,6,16
4590008,9127,6,3,4,0,7,2,9,1,5,0,1,18
4590009,9128,4,7,18,3,20,3,15,3,3,1,6,9
4590010,9129,15,8,1,1,5,0,10,1,2,0,5,10
4590011,9130,2,3,5,1,4,1,6,1,2,1,4,6
4590012,9131,4,3,5,2,3,1,5,0,0,1,3,4
4590013,9132,10,8,5,3,5,3,5,3,2,0,5,7
4590014,9133,7,4,11,2,2,1,5,0,5,0,1,2
4590015,9134,5,4,5,2,4,2,13,0,1,3,2,9
4590015,9135,0,0,0,0,0,0,0,0,0,0,0,0
4590016,9136,9,7,9,8,12,3,9,1,5,1,6,15
4590017,9137,21,12,20,6,18,4,18,3,9,1,10,25
4590018,9138,8,4,6,3,4,1,8,1,0,0,2,10
4590020,9139,0,2,0,0,0,0,1,0,0,0,1,1
4610001,9140,2,0,3,1,4,1,2,3,0,0,2,1
4610002,9141,1,0,0,0,2,1,0,0,1,0,0,0
4610003,9142,0,0,1,1,4,1,2,8,1,0,5,2
4610004,9143,1,5,1,1,2,1,3,4,1,0,5,2
4610005,9144,1,0,0,0,3,0,0,0,0,1,1,0
4610006,9145,0,0,0,0,2,0,0,2,0,1,2,0
4630001,9146,6,7,14,11,38,7,15,24,3,3,38,4
4630002,9147,5,2,7,4,24,2,11,13,3,4,53,4
4630003,9148,4,0,2,1,2,1,11,0,0,0,5,0
4630004,9149,3,0,2,2,3,1,9,0,0,0,2,0
4630005,9150,9,9,12,10,45,4,19,19,7,2,35,16
4630006,9151,2,0,2,1,3,0,8,1,0,0,4,0
4630007,9152,4,1,8,3,11,4,13,4,3,1,7,1
4630008,9153,6,15,21,8,71,10,24,39,4,6,76,3
4630009,9154,2,13,12,8,87,5,11,35,4,6,95,2
4630010,9155,4,8,10,8,62,8,12,23,2,4,39,2
4630011,9156,3,4,4,1,10,3,2,1,0,0,11,0
4630012,9157,21,21,27,26,80,11,35,45,11,3,83,10
4630013,9158,9,23,35,16,173,20,28,78,7,17,118,13
4630014,9159,0,0,0,1,2,0,8,1,0,0,2,0
4650010,9160,23,22,15,18,70,36,25,69,11,6,94,10
4650011,9161,15,12,5,13,53,33,13,70,2,6,79,12
4650012,9162,0,1,0,3,1,3,1,1,0,0,1,0
4650012,9163,0,0,0,1,0,1,1,1,0,0,2,1
4650012,9164,0,0,0,0,0,0,0,0,0,0,0,0
4650012,9165,0,0,0,0,0,0,0,0,0,0,0,0
4650013,9166,2,3,2,2,4,5,11,10,0,1,12,3
4650020,9167,2,0,0,0,1,0,0,0,0,0,0,1
4650021,9168,5,7,8,6,42,17,4,32,0,3,62,7
4650022,9169,14,14,11,14,30,30,19,36,3,7,55,7
4650023,9170,1,2,4,1,6,3,2,7,1,0,5,0
4650024,9171,3,7,2,3,18,9,3,23,2,0,25,5
4650030,9172,21,16,18,8,38,19,20,37,9,3,57,15
4650031,9173,21,24,25,10,59,31,45,57,8,6,119,17
4650032,9174,1,0,0,0,0,0,1,5,0,3,3,2
4650033,9175,5,6,3,3,7,4,5,18,3,3,26,3
4650040,9176,13,25,22,15,94,49,43,112,11,8,180,16
4650041,9177,0,6,4,7,26,17,7,24,2,3,29,2
4650042,9178,0,0,0,0,0,0,2,0,0,0,0,0
4650043,9179,2,0,0,0,0,0,0,0,0,0,0,0
467001,9180,6,5,7,0,7,1,25,2,2,1,10,11
467001,9181,16,12,7,1,4,3,54,1,3,1,4,7
467001,9182,8,3,6,0,1,1,20,4,1,0,1,7
467001,9183,2,2,2,1,2,0,13,4,0,0,1,6
467001,9184,5,0,1,0,2,0,11,2,1,0,2,15
467002,9185,10,6,11,1,13,3,42,3,5,0,11,16
467002,9186,7,5,4,1,3,0,21,1,0,1,2,8
467002,9187,4,1,3,0,4,1,38,2,1,0,2,13
467002,9188,6,3,3,2,5,0,34,1,1,0,2,7
467003,9189,4,0,4,0,3,0,13,0,0,0,0,6
467003,9190,8,6,6,2,6,1,15,3,3,0,10,44
467003,9191,11,5,6,1,12,2,62,2,5,0,4,20
467003,9192,6,8,5,2,2,1,34,2,3,0,3,23
467004,9193,2,1,3,0,3,0,24,3,0,0,5,7
467004,9194,0,4,3,2,4,0,29,3,0,2,4,5
467004,9195,2,4,4,2,2,1,35,3,1,1,3,13
467004,9196,18,7,8,3,10,2,73,9,1,0,19,29
467004,9197,5,4,3,1,3,1,15,2,2,0,5,7
4690001,9198,9,3,6,0,8,1,8,7,0,3,9,7
4690002,9199,10,2,6,1,17,1,27,4,5,0,12,3
4690003,9200,8,5,10,0,18,2,28,11,3,0,16,2
4690004,9201,9,8,8,2,21,1,10,14,5,2,24,2
4690005,9202,12,10,11,4,26,4,32,33,8,2,56,9
