CNTYVTD,VTDKEY,BennetD_20P_President,BidenD_20P_President,BloombergD_20P_President,BookerD_20P_President,CastroD_20P_President,De La FuenteD_20P_President,DelaneyD_20P_President,GabbardD_20P_President,KlobucharD_20P_President,PatrickD_20P_President,SandersD_20P_President,SteyerD_20P_President,WarrenD_20P_President,WellsD_20P_President,WilliamsonD_20P_President,YangD_20P_President,ButtigiegD_20P_President,BennetD_20P_President_Percentage,BidenD_20P_President_Percentage,BloombergD_20P_President_Percentage,BookerD_20P_President_Percentage,CastroD_20P_President_Percentage,De La FuenteD_20P_President_Percentage,DelaneyD_20P_President_Percentage,GabbardD_20P_President_Percentage,KlobucharD_20P_President_Percentage,PatrickD_20P_President_Percentage,SandersD_20P_President_Percentage,SteyerD_20P_President_Percentage,WarrenD_20P_President_Percentage,WellsD_20P_President_Percentage,WilliamsonD_20P_President_Percentage,YangD_20P_President_Percentage,ButtigiegD_20P_President_Percentage
50023,50,0,5,2,0,0,0,0,1,1,0,4,0,2,0,1,0,1,0.0,0.29411764705882354,0.11764705882352941,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.23529411764705882,0.0,0.11764705882352941,0.0,0.058823529411764705,0.0,0.058823529411764705
50024,51,2,49,6,0,0,0,0,1,5,0,32,0,9,0,0,1,1,0.018867924528301886,0.46226415094339623,0.05660377358490566,0.0,0.0,0.0,0.0,0.009433962264150943,0.04716981132075472,0.0,0.3018867924528302,0.0,0.08490566037735849,0.0,0.0,0.009433962264150943,0.009433962264150943
50025,52,0,46,8,0,0,2,0,0,1,0,20,1,3,0,1,0,0,0.0,0.5609756097560976,0.0975609756097561,0.0,0.0,0.024390243902439025,0.0,0.0,0.012195121951219513,0.0,0.24390243902439024,0.012195121951219513,0.036585365853658534,0.0,0.012195121951219513,0.0,0.0
50026,53,0,38,5,0,0,0,0,1,1,0,13,1,1,0,0,0,3,0.0,0.6031746031746031,0.07936507936507936,0.0,0.0,0.0,0.0,0.015873015873015872,0.015873015873015872,0.0,0.20634920634920634,0.015873015873015872,0.015873015873015872,0.0,0.0,0.0,0.047619047619047616
50027,54,0,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
50028,55,0,28,8,0,1,0,0,0,2,0,7,0,2,0,0,0,3,0.0,0.5490196078431373,0.1568627450980392,0.0,0.0196078431372549,0.0,0.0,0.0,0.0392156862745098,0.0,0.13725490196078433,0.0,0.0392156862745098,0.0,0.0,0.0,0.058823529411764705
50029,56,0,28,10,0,0,0,0,0,0,1,18,0,7,0,1,0,0,0.0,0.4307692307692308,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.27692307692307694,0.0,0.1076923076923077,0.0,0.015384615384615385,0.0,0.0
50030,57,0,12,2,0,0,0,0,0,2,0,4,0,2,0,0,0,0,0.0,0.5454545454545454,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
50031,58,0,4,3,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0.0,0.3076923076923077,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693
50032,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
