CNTYVTD,VTDKEY,BennetD_20P_President,BidenD_20P_President,BloombergD_20P_President,BookerD_20P_President,CastroD_20P_President,De La FuenteD_20P_President,DelaneyD_20P_President,GabbardD_20P_President,KlobucharD_20P_President,PatrickD_20P_President,SandersD_20P_President,SteyerD_20P_President,WarrenD_20P_President,WellsD_20P_President,WilliamsonD_20P_President,YangD_20P_President,ButtigiegD_20P_President
"0130021",114,0,27,13,0,3,1,0,0,2,0,22,1,7,0,0,0,4
"0130022",115,0,16,17,0,0,0,0,0,1,0,9,2,2,0,1,0,2
"0150101",116,0,24,16,1,1,0,0,0,1,0,15,0,5,0,0,0,1
"0150102",117,0,36,13,1,0,0,0,0,1,0,18,0,6,1,0,0,5
"0150103",118,0,27,14,0,1,0,0,1,5,0,17,2,5,0,0,0,4
"0150104",119,0,8,9,0,0,0,0,0,1,0,9,1,1,0,0,0,0
"0150205",120,0,67,37,0,0,0,1,0,9,0,22,3,11,1,1,0,9
"0150206",121,0,31,9,0,0,0,0,0,1,0,7,0,7,0,0,0,0
"0150207",122,0,26,4,0,0,0,0,1,0,1,8,1,1,0,0,0,3
"0150208",123,0,22,8,0,0,0,0,0,2,0,5,0,4,0,0,1,0
"0150309",124,0,7,3,0,0,0,0,0,0,0,2,1,0,0,0,0,2
"0150310",125,0,48,28,0,0,0,1,0,1,0,30,3,7,0,1,1,4
"0150311",126,1,48,17,0,1,0,0,1,0,1,17,2,1,1,0,0,0
"0150412",127,0,42,5,0,0,0,0,0,0,0,9,0,2,0,0,0,0
"0150413",128,0,18,6,0,0,0,0,0,1,0,10,3,2,0,0,0,3
"0150414",129,0,16,17,0,0,0,0,0,0,0,17,1,1,0,0,0,0
"0150415",130,0,40,19,0,0,0,0,1,0,0,28,1,1,0,0,0,2
"0170001",131,0,12,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0
"0170002",132,0,15,6,0,0,0,1,0,0,0,7,0,1,0,0,0,2
"0170003",133,0,13,5,0,0,0,0,0,0,0,6,2,4,0,0,0,1
