CNTYVTD,VTDKEY,BennetD_20P_President,BidenD_20P_President,BloombergD_20P_President,BookerD_20P_President,CastroD_20P_President,De La FuenteD_20P_President,DelaneyD_20P_President,GabbardD_20P_President,KlobucharD_20P_President,PatrickD_20P_President,SandersD_20P_President,SteyerD_20P_President,WarrenD_20P_President,WellsD_20P_President,WilliamsonD_20P_President,YangD_20P_President,ButtigiegD_20P_President
"1132400",2378,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,3
"1132401",2379,2,223,104,1,0,0,1,1,29,0,155,6,63,0,4,1,38
"1132402",2380,3,146,67,1,1,0,0,2,8,0,165,5,62,0,2,1,25
"1132403",2381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1132404",2382,4,73,36,0,0,0,2,1,2,0,121,1,35,0,0,0,14
"1132405",2383,2,189,80,1,0,0,2,1,18,0,124,2,74,0,6,0,33
"1132406",2384,0,204,61,2,0,0,1,1,7,0,185,2,63,0,1,0,25
"1132407",2385,7,149,81,1,2,0,0,4,12,0,204,8,66,0,8,0,19
"1132408",2386,3,63,20,0,1,2,0,4,10,0,109,1,32,0,1,0,9
"1132409",2387,5,63,43,2,1,1,5,1,1,0,137,1,22,2,1,2,7
"1132410",2388,0,91,18,1,0,1,0,1,5,0,100,4,31,1,1,0,22
"1132411",2389,1,16,13,0,4,0,0,0,0,0,40,1,8,0,2,0,2
"1132412",2390,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1132417",2391,0,19,9,0,0,0,0,0,2,0,12,0,7,0,0,0,3
"1132500",2392,0,91,18,0,0,0,0,1,4,0,100,2,56,0,0,0,11
"1132501",2393,0,126,41,0,0,0,0,1,8,0,59,7,38,0,0,2,11
"1132502",2394,0,182,56,1,0,0,1,2,7,0,51,2,45,0,2,1,9
"1132503",2395,0,222,73,2,0,0,0,2,16,0,91,1,102,0,0,7,20
"1132504",2396,0,86,16,1,0,0,1,0,4,0,79,5,47,0,0,0,12
"1132505",2397,1,144,34,1,0,0,3,1,7,1,137,7,79,0,0,1,26
"1132506",2398,0,175,48,1,0,0,0,0,7,0,112,0,68,0,0,1,16
"1132507",2399,2,167,43,2,0,0,2,4,15,0,91,2,78,0,0,0,24
"1132508",2400,1,182,57,1,1,0,1,2,6,0,266,4,91,0,0,2,14
"1132509",2401,0,207,83,0,0,0,0,3,10,0,151,3,81,0,0,1,27
"1132510",2402,0,132,30,0,0,0,1,4,7,0,99,4,49,0,1,2,15
"1132511",2403,1,116,33,1,0,0,1,2,9,0,118,2,48,0,0,0,18
"1132512",2404,1,105,34,1,0,0,0,0,9,0,78,2,36,0,1,0,13
"1132513",2405,7,171,49,2,1,0,0,0,6,0,148,4,60,0,1,1,18
"1132514",2406,1,217,77,0,0,0,0,0,24,0,123,4,66,0,2,0,22
"1132515",2407,0,45,7,0,0,0,0,0,0,0,58,0,23,0,0,0,2
"1132517",2408,6,136,30,0,0,0,1,2,9,0,195,0,42,0,0,2,15
"1132518",2409,2,178,49,0,0,0,1,0,4,0,99,2,48,0,1,1,15
"1132519",2410,1,125,55,1,0,1,1,2,7,0,155,4,68,0,2,2,19
"1132520",2411,3,232,61,5,0,0,3,3,16,0,325,6,88,0,3,3,29
"1132521",2412,0,150,56,0,0,1,1,1,9,0,146,4,85,0,1,0,24
"1132523",2413,0,94,18,1,0,0,0,3,11,0,117,9,59,1,0,1,12
"1132601",2414,0,115,30,0,0,0,0,4,10,0,144,3,47,0,2,3,18
"1132602",2415,4,181,58,1,1,0,3,2,11,0,200,2,52,0,3,3,28
"1132603",2416,5,197,57,1,0,0,1,4,16,0,177,1,47,0,1,1,20
"1132604",2417,1,203,64,1,0,0,1,1,10,0,190,1,70,0,1,0,33
"1132605",2418,7,104,47,1,0,0,0,1,11,0,163,1,34,0,2,1,14
"1132606",2419,0,120,26,0,0,0,0,0,6,0,105,3,54,0,0,3,15
"1132607",2420,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1132608",2421,0,186,67,1,0,0,0,3,9,0,114,6,44,0,1,1,27
"1132609",2422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1132610",2423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1132611",2424,2,66,34,0,0,0,0,1,1,0,109,0,39,0,1,2,6
"1132612",2425,0,62,28,0,0,0,0,1,4,0,47,1,21,0,1,1,13
"1132613",2426,0,231,68,1,0,0,0,2,14,0,186,5,88,0,0,2,31
"1132614",2427,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"1132800",2428,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1132801",2429,1,207,60,1,0,0,1,7,16,0,134,2,73,0,1,4,43
"1132802",2430,1,279,96,0,0,0,0,3,19,0,188,7,78,0,0,4,30
"1132803",2431,0,81,34,0,0,0,0,1,16,0,32,4,19,0,1,0,10
"1132804",2432,1,156,39,0,0,0,0,1,11,0,109,3,58,1,1,0,25
"1132805",2433,0,254,92,0,0,0,0,0,18,0,140,3,86,1,2,4,37
"1132806",2434,1,192,63,0,0,0,0,0,10,0,90,0,43,0,0,2,22
"1132807",2435,1,145,66,0,0,0,1,1,8,0,94,4,42,0,1,1,27
"1132808",2436,0,210,61,0,0,0,1,2,14,0,120,2,57,0,0,1,24
"1132809",2437,2,169,53,1,0,0,0,2,11,0,131,5,53,0,1,1,19
"1132810",2438,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1132900",2439,0,234,114,0,0,0,1,2,14,0,116,3,51,0,0,1,30
"1132901",2440,0,64,29,3,0,1,0,3,2,0,92,1,37,0,1,0,12
"1132902",2441,0,109,26,1,1,0,2,1,4,0,121,1,50,0,2,0,17
"1132903",2442,1,141,34,0,0,0,0,3,0,0,142,1,78,0,1,1,19
"1132904",2443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1132905",2444,0,40,29,1,0,0,0,0,6,0,4,0,9,0,0,0,6
"1132910",2445,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0
"1132911",2446,0,18,1,1,0,0,0,0,1,0,10,0,1,0,0,0,1
"1132913",2447,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11329A1",2448,0,6,2,0,0,0,0,0,0,0,11,0,3,0,0,0,0
"1133000",2449,0,268,80,0,0,0,0,4,4,0,151,0,111,0,0,1,51
"1133001",2450,0,27,6,0,0,0,0,1,0,0,10,0,11,0,1,1,1
"1133002",2451,3,76,24,1,1,0,0,0,1,0,42,3,11,0,1,0,2
"1133003",2452,3,282,70,4,0,0,1,1,3,0,117,6,45,0,3,0,14
"1133004",2453,2,316,71,1,1,1,2,0,2,0,175,9,62,0,0,1,33
"1133005",2454,0,32,13,0,0,1,0,0,2,0,26,0,13,0,0,0,7
"1133006",2455,0,250,121,0,0,1,0,0,11,0,142,2,95,0,0,1,48
"1133007",2456,0,104,40,1,0,0,0,2,4,0,42,1,17,0,0,1,17
"1133008",2457,0,85,24,0,0,0,0,0,4,0,77,0,38,0,0,0,14
"1133009",2458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133010",2459,1,47,13,0,0,0,0,0,0,0,27,1,8,0,1,0,0
"1133011",2460,1,99,33,2,0,0,1,2,8,0,89,3,47,0,0,1,19
"1133012",2461,0,10,5,0,0,0,0,0,0,0,7,0,0,0,1,0,0
"1133013",2462,1,29,16,0,0,0,1,0,0,0,31,2,4,0,3,0,2
"1133014",2463,3,82,34,4,2,1,1,0,1,0,89,5,10,0,1,1,2
"1133015",2464,2,9,3,0,0,0,0,0,0,0,7,0,4,0,1,0,1
"1133016",2465,2,120,25,0,1,0,0,1,7,0,136,1,71,0,4,1,21
"1133017",2466,0,55,32,0,0,0,0,0,1,0,49,4,15,0,0,1,4
"1133018",2467,3,179,53,3,1,0,1,0,1,0,89,8,25,0,4,0,5
"1133019",2468,2,45,11,2,0,0,1,1,2,0,36,4,9,0,1,1,5
"1133020",2469,1,11,3,0,0,0,1,0,0,0,22,0,14,0,0,0,5
"1133021",2470,3,65,33,4,0,1,0,1,1,0,25,3,8,0,2,0,1
"1133022",2471,4,100,34,5,0,0,0,0,0,0,49,6,6,0,5,1,3
"1133023",2472,1,107,36,0,0,0,1,1,1,0,59,5,7,1,5,0,2
"1133024",2473,4,127,33,2,0,1,4,0,0,0,47,5,9,0,3,0,2
"1133025",2474,1,12,1,0,1,0,0,0,0,0,9,0,0,0,1,0,0
"1133026",2475,3,71,14,0,1,0,2,0,1,0,35,4,4,0,3,0,6
"1133027",2476,2,126,32,2,0,0,0,0,1,0,50,5,5,0,1,1,5
"1133028",2477,4,98,29,3,0,0,2,0,0,0,30,2,8,0,1,0,2
"1133029",2478,2,58,22,3,0,0,0,0,0,0,31,4,5,0,3,0,0
"1133030",2479,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"1133031",2480,0,21,19,2,0,1,0,0,0,0,40,1,3,0,1,0,0
"1133032",2481,3,37,26,1,2,1,0,3,4,0,78,3,25,1,1,0,11
"1133033",2482,1,30,9,1,0,0,1,0,0,0,14,0,1,0,1,0,0
"1133034",2483,6,140,29,3,1,0,2,1,1,0,61,4,18,0,3,0,7
"1133035",2484,4,117,37,3,0,0,3,1,1,0,68,0,14,1,1,0,5
"1133036",2485,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1133037",2486,3,36,15,1,0,1,0,0,0,0,20,1,3,0,0,0,0
"1133038",2487,5,132,30,4,0,0,1,0,0,0,38,3,8,0,3,0,1
"1133039",2488,6,253,97,5,0,0,5,0,4,0,96,7,25,0,2,1,10
"1133040",2489,3,82,34,1,4,1,1,0,1,0,46,4,9,0,5,0,3
"1133041",2490,1,7,4,0,1,1,0,0,0,0,8,0,0,0,0,0,0
"1133042",2491,5,130,40,4,1,0,0,0,0,0,41,2,4,0,1,0,2
"1133043",2492,8,158,52,3,1,0,0,0,0,0,78,9,4,1,6,3,3
"1133044",2493,6,220,63,5,1,0,3,0,1,1,104,5,14,1,6,2,4
"1133045",2494,5,75,29,1,1,0,2,0,0,0,31,2,9,0,1,1,0
"1133046",2495,4,304,87,3,2,0,0,0,5,1,155,3,48,0,0,0,36
"1133047",2496,4,145,33,3,0,0,2,1,1,0,41,3,10,1,4,1,5
"1133048",2497,6,256,78,13,0,0,2,0,3,0,102,12,16,0,7,0,4
"1133049",2498,3,241,56,7,4,1,1,2,0,0,69,13,13,0,6,0,4
"1133050",2499,3,137,52,1,2,0,1,0,2,0,68,1,3,0,1,1,4
"1133051",2500,3,98,21,3,0,0,0,0,3,0,37,2,4,0,1,1,1
"1133052",2501,6,272,56,5,0,0,2,0,0,0,70,7,10,0,9,0,6
"1133053",2502,2,184,37,7,0,1,3,0,1,0,95,5,17,0,5,0,4
"1133054",2503,8,565,106,7,0,1,0,0,1,1,142,15,39,0,6,0,7
"1133055",2504,3,493,137,9,1,0,2,0,9,0,134,12,58,1,8,2,9
"1133056",2505,8,457,118,10,0,0,5,1,10,0,136,11,58,0,8,2,12
"1133057",2506,4,329,91,4,0,0,1,0,3,0,125,9,25,0,8,1,6
"1133058",2507,7,382,81,9,0,0,2,1,3,0,87,7,20,1,5,0,6
"1133059",2508,5,191,62,5,2,0,2,0,1,0,55,5,13,0,1,1,1
"1133060",2509,1,263,54,3,0,0,2,0,1,0,62,6,7,3,6,1,4
"1133061",2510,5,144,43,2,0,0,0,0,0,0,54,10,4,0,4,0,2
"1133062",2511,4,201,47,3,0,0,3,2,1,0,94,5,9,1,4,0,4
"1133063",2512,10,420,88,9,0,0,5,1,3,0,151,15,28,0,14,0,9
"1133064",2513,6,403,113,9,1,2,1,0,4,0,123,7,34,0,5,0,10
"1133065",2514,9,289,76,6,0,0,2,0,1,0,85,7,15,0,5,0,5
"1133066",2515,2,222,67,1,2,0,0,0,0,0,82,10,14,1,2,1,6
"1133067",2516,3,167,40,6,1,0,1,0,2,0,73,5,9,0,2,0,1
"1133068",2517,12,424,128,15,0,0,2,0,4,1,213,14,34,0,12,3,6
"1133069",2518,8,218,51,6,0,0,3,0,1,0,82,6,8,1,2,0,5
"1133070",2519,9,310,111,8,1,0,1,2,1,1,111,11,27,0,5,1,4
"1133071",2520,5,318,95,7,3,0,3,1,2,0,97,7,16,0,3,0,5
"1133072",2521,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133073",2522,1,16,8,0,0,0,0,0,0,1,5,0,3,0,0,0,1
"1133074",2523,3,16,10,1,0,0,0,1,0,0,35,1,4,0,0,0,0
"1133075",2524,1,23,5,1,0,0,0,0,0,0,7,0,1,0,0,0,1
"1133076",2525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133077",2526,4,320,95,9,2,2,4,2,8,0,170,9,53,1,4,2,13
"1133078",2527,8,291,76,6,3,1,3,1,1,0,139,9,23,0,5,0,6
"1133079",2528,0,31,10,1,0,0,0,0,0,1,16,1,0,0,0,0,2
"1133080",2529,1,70,24,1,0,1,0,0,1,0,61,7,6,0,2,0,3
"1133081",2530,1,157,83,0,0,0,0,1,13,0,64,0,40,0,0,0,31
"1133082",2531,8,210,62,8,5,0,0,0,1,1,102,5,14,0,4,0,6
"1133083",2532,3,44,31,1,2,0,2,1,0,1,46,2,9,0,1,1,2
"1133084",2533,0,100,16,1,1,0,0,1,2,0,134,1,71,0,2,2,9
"1133085",2534,1,19,13,0,0,0,0,0,0,0,19,0,2,0,0,0,0
"1133086",2535,0,246,77,1,1,0,0,0,14,0,155,0,105,0,0,2,52
"1133087",2536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133088",2537,0,4,2,0,0,0,0,0,1,0,7,0,1,0,0,0,2
"1133089",2538,0,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"1133090",2539,0,106,20,1,1,0,0,1,1,0,132,2,61,0,1,0,12
"1133091",2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133092",2541,3,161,46,3,0,0,1,1,0,0,55,8,11,0,6,0,3
"1133093",2542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133094",2543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133095",2544,1,171,52,2,1,0,1,1,12,0,150,2,78,1,1,1,33
"1133096",2545,1,198,59,0,0,0,0,1,11,0,176,1,91,0,0,1,33
"1133097",2546,1,30,8,0,0,0,0,0,0,0,8,2,4,0,1,0,0
"1133098",2547,0,14,11,2,1,0,0,0,0,1,12,0,2,0,2,0,2
"1133099",2548,1,32,8,1,0,0,0,0,0,0,13,1,2,0,2,0,1
"11330A4",2549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11330A6",2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11330C4",2551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11330T4",2552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11330T6",2553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133100",2554,6,286,60,5,2,0,3,1,2,0,129,5,22,0,3,1,9
"1133101",2555,1,91,20,1,0,0,3,0,0,1,40,1,10,0,2,0,1
"1133102",2556,6,292,81,6,0,0,2,0,3,0,129,4,33,0,6,0,6
"1133103",2557,6,444,106,8,1,0,2,0,12,0,160,16,42,0,9,0,12
"1133104",2558,3,305,88,6,1,1,2,1,3,0,157,5,37,0,4,2,10
"1133105",2559,1,310,94,7,0,0,2,2,3,0,117,6,48,0,4,0,12
"1133106",2560,7,425,85,6,1,2,3,0,6,0,181,8,48,2,8,0,9
"1133107",2561,4,361,90,13,1,0,3,0,5,0,157,10,28,0,4,0,5
"1133108",2562,4,190,67,2,1,0,0,1,5,0,85,4,24,0,1,1,16
"1133109",2563,2,399,102,3,0,1,1,4,6,0,141,6,50,1,3,2,21
"1133110",2564,6,458,84,10,0,1,0,0,5,1,165,8,49,0,8,2,10
"1133111",2565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133112",2566,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"1133113",2567,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1133114",2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133115",2569,4,259,69,8,0,0,1,0,4,0,131,6,31,0,3,0,7
"1133116",2570,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1133117",2571,0,6,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0
"1133119",2572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11331A4",2573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11331A5",2574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133200",2575,1,274,87,5,0,0,1,0,8,0,84,10,38,1,2,0,13
"1133201",2576,3,141,47,0,1,0,1,2,11,0,58,5,28,0,3,0,9
"1133202",2577,1,264,88,3,0,0,0,2,6,0,118,5,28,0,6,0,10
"1133203",2578,5,196,64,1,0,0,0,0,4,0,105,9,39,0,2,2,18
"1133204",2579,9,178,57,4,2,0,1,1,3,0,104,8,36,0,7,0,7
"1133205",2580,7,201,55,3,1,0,3,2,6,0,116,6,25,0,4,0,6
"1133206",2581,1,204,67,3,0,0,0,0,12,0,85,7,57,0,7,0,18
"1133207",2582,4,150,54,2,0,0,5,0,5,0,126,5,42,0,1,1,14
"1133208",2583,3,112,36,4,1,0,1,1,1,0,97,1,12,0,3,0,4
"1133209",2584,0,18,3,0,0,0,0,0,1,0,7,0,0,0,0,0,1
"1133210",2585,2,139,48,3,0,0,1,2,12,0,93,7,21,0,4,0,8
"1133211",2586,4,60,16,2,1,2,1,1,2,0,57,1,7,0,0,0,5
"11332A0",2587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11332A1",2588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11332C1",2589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11332T0",2590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11332T1",2591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133304",2592,1,135,51,2,1,0,2,0,6,0,131,9,31,0,1,0,10
"1133305",2593,2,267,60,3,1,0,3,2,8,0,178,7,41,0,5,1,13
"1133306",2594,5,63,27,2,1,0,0,1,2,0,70,1,12,0,1,2,6
"1133307",2595,3,59,24,4,0,1,1,0,1,0,69,4,8,0,7,1,3
"1133308",2596,4,84,28,0,1,1,1,1,3,0,85,3,14,0,1,2,3
"1133309",2597,2,148,39,1,0,0,2,1,6,0,96,3,20,0,2,0,5
"1133310",2598,1,120,35,0,1,0,1,1,3,0,76,2,28,0,1,3,6
"1133311",2599,0,83,31,1,0,2,1,1,0,0,84,5,18,0,1,0,8
"1133312",2600,6,246,52,3,2,0,3,0,1,0,131,4,49,0,3,1,7
"1133313",2601,3,299,79,4,0,0,2,0,1,0,154,9,32,0,1,0,10
"1133314",2602,5,313,61,8,1,0,3,1,7,0,152,5,34,0,6,0,3
"1133315",2603,1,52,27,0,1,0,0,0,1,0,57,5,4,0,4,1,3
"1133316",2604,4,214,36,4,1,1,1,0,2,0,105,4,20,0,2,1,10
"1133317",2605,1,193,43,3,0,0,1,0,1,0,82,1,23,0,1,1,3
"1133318",2606,2,125,29,3,0,0,0,0,1,0,61,6,14,0,1,0,3
"1133319",2607,0,9,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0
"1133321",2608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133325",2609,4,168,45,4,3,1,3,1,3,0,85,7,18,0,3,1,7
"1133327",2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133328",2611,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1133500",2612,3,187,45,1,1,0,1,2,4,0,107,5,29,1,1,1,7
"1133501",2613,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133503",2614,0,67,17,0,0,0,0,0,1,0,42,2,12,0,0,0,2
"1133504",2615,1,34,10,0,0,0,0,1,1,0,19,1,5,0,0,0,1
"1133600",2616,6,306,107,10,0,0,4,0,5,0,112,9,20,0,4,0,9
"1133601",2617,3,422,133,5,0,0,1,0,3,1,111,6,36,0,5,2,10
"1133602",2618,1,143,47,1,1,0,0,0,3,0,28,3,12,0,1,0,1
"1133603",2619,1,64,20,0,0,0,0,0,1,0,10,3,6,0,0,0,3
"1133604",2620,4,407,131,8,2,0,2,2,7,0,137,10,29,0,2,0,13
"1133605",2621,9,312,85,8,3,0,3,2,2,1,110,8,34,0,4,0,7
"1133606",2622,6,379,128,16,1,1,1,1,4,0,122,11,37,2,7,1,9
"1133607",2623,13,757,174,15,0,1,2,1,5,0,230,13,73,0,11,0,16
"1133608",2624,7,641,127,12,1,0,2,1,6,1,175,11,54,0,6,3,11
"1133609",2625,9,466,122,11,2,1,2,2,7,1,175,7,56,0,13,0,13
"1133610",2626,2,46,13,1,0,0,0,1,5,0,37,2,6,0,1,0,3
"1133611",2627,2,127,34,5,0,0,0,0,5,0,68,3,14,0,3,0,8
"1133612",2628,7,544,130,12,0,0,4,1,4,1,173,13,55,1,6,0,11
"1133613",2629,2,55,18,2,0,0,0,1,1,0,39,2,12,0,1,0,5
"1133614",2630,2,126,37,2,0,0,0,0,2,0,37,4,8,0,4,0,3
"1133615",2631,2,402,82,11,0,0,3,0,3,0,135,10,59,1,4,2,5
"1133616",2632,2,84,25,2,0,0,1,0,0,0,38,3,11,0,2,0,3
"1133617",2633,6,362,80,13,0,1,3,0,1,0,144,10,31,0,7,0,7
"1133618",2634,0,92,17,1,0,0,0,0,0,0,26,0,10,0,0,0,1
"1133619",2635,1,12,6,0,0,0,0,0,0,0,7,0,1,0,1,0,0
"1133620",2636,1,225,42,5,0,0,0,0,0,0,81,5,13,0,0,0,6
"1133621",2637,2,94,28,1,0,0,0,0,1,0,36,1,9,0,1,0,1
"1133701",2638,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1133702",2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1133800",2640,13,642,159,14,0,0,2,1,2,0,257,17,53,1,7,3,11
"1133801",2641,0,12,10,1,0,0,0,0,0,0,21,1,2,0,0,0,2
"1133802",2642,15,515,144,15,2,1,2,0,2,0,191,17,36,0,9,0,6
"1133803",2643,13,477,119,16,2,1,2,1,1,0,153,10,41,0,10,0,7
"1133805",2644,16,708,149,12,1,0,7,1,5,0,257,17,56,0,14,1,15
"1133806",2645,2,140,31,2,2,0,0,1,0,0,69,4,19,0,3,0,1
"1133807",2646,7,344,86,7,0,0,2,0,4,0,124,11,21,0,3,1,9
"1133808",2647,7,377,104,4,4,2,4,1,3,0,194,12,64,0,15,1,16
"1133809",2648,1,29,12,1,0,0,0,0,0,0,19,1,5,0,1,1,0
"1133900",2649,5,379,74,9,1,0,2,0,1,0,148,5,40,0,11,0,5
"1133920",2650,2,106,32,1,0,0,4,2,0,0,75,2,6,0,1,0,4
"1133921",2651,5,211,47,1,1,1,1,2,0,1,170,5,27,1,3,1,8
"1133922",2652,0,4,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0
"1133940",2653,8,136,39,6,2,0,4,2,3,0,67,0,11,0,3,1,5
"1133950",2654,4,185,42,7,1,0,3,1,3,0,76,5,16,0,4,0,2
"1133951",2655,3,321,66,6,1,0,1,0,1,0,130,4,30,0,6,0,3
"1133952",2656,0,17,3,0,0,0,0,0,0,0,8,0,2,0,0,0,0
"1133960",2657,1,197,49,4,0,0,0,2,6,0,106,3,44,1,1,1,16
"1133961",2658,2,143,29,1,0,0,1,2,3,0,95,4,35,0,2,2,6
"1133962",2659,1,222,66,5,0,0,1,1,10,0,147,2,64,0,2,2,18
"1133963",2660,0,148,34,2,0,0,0,2,5,0,81,2,29,0,0,0,12
"1133964",2661,0,133,26,3,0,0,0,1,9,0,87,3,21,0,3,1,10
"1133965",2662,1,186,41,0,0,0,0,0,3,0,121,6,46,0,0,0,16
"1133966",2663,3,209,35,1,0,0,0,0,2,0,154,5,52,0,3,0,16
"1133967",2664,0,63,20,1,0,0,0,0,5,0,57,2,18,0,1,0,8
"1133968",2665,4,204,41,7,1,0,1,2,7,0,131,4,40,0,4,0,23
"1133969",2666,3,154,54,2,1,0,2,1,15,0,78,6,20,0,0,0,17
"1133970",2667,1,173,59,3,1,0,1,1,11,0,93,4,41,0,2,0,13
"1133971",2668,2,113,35,0,0,0,0,1,4,0,93,4,33,0,1,0,7
"1133980",2669,3,150,47,3,1,0,2,2,8,0,138,3,44,0,2,3,15
"1133981",2670,0,57,23,3,0,0,0,3,5,0,43,12,15,0,0,0,4
"1133982",2671,3,143,42,4,2,2,1,2,9,0,106,3,33,0,0,0,15
"1133983",2672,0,89,23,1,0,0,0,0,5,0,67,0,21,0,0,0,13
"1133984",2673,0,63,17,2,0,0,0,1,1,0,54,1,17,0,0,0,6
"1134000",2674,0,16,3,0,0,0,0,0,1,0,17,0,5,0,0,0,3
"1134001",2675,10,62,25,0,1,0,1,0,2,1,96,4,20,0,2,0,8
"1134002",2676,4,108,34,0,1,0,0,1,9,0,47,4,36,0,1,1,44
"1134003",2677,1,5,3,1,0,0,0,0,0,0,23,0,0,0,0,0,1
"1134004",2678,2,110,31,0,3,0,2,0,6,0,117,4,37,0,2,1,35
"1134005",2679,1,53,23,1,0,0,0,0,1,0,57,0,12,0,2,1,6
"1134006",2680,1,109,35,0,0,1,0,2,7,0,75,2,55,0,0,0,19
"1134007",2681,0,5,10,0,0,0,0,0,2,0,17,0,5,0,0,0,10
"1134008",2682,0,17,9,0,0,1,1,0,1,0,38,3,4,0,1,2,0
"1134009",2683,6,48,26,1,2,2,2,0,1,0,104,4,19,0,1,0,4
"1134010",2684,4,144,51,0,1,0,0,2,8,0,60,3,54,0,0,0,27
"1134011",2685,3,49,13,0,1,0,1,0,2,0,65,2,10,0,4,1,11
"1134012",2686,0,3,3,0,0,0,0,0,0,0,8,0,2,0,0,0,0
"1134013",2687,0,43,12,1,0,0,0,0,0,0,7,0,4,0,0,0,3
"1134014",2688,2,213,115,0,0,1,0,1,11,0,31,5,34,0,2,1,26
"1134015",2689,2,235,49,6,0,0,1,1,3,0,87,6,32,1,4,2,12
"1134016",2690,2,241,46,4,1,0,2,0,4,0,104,4,38,0,1,0,19
"1134017",2691,0,56,16,0,0,0,0,0,3,0,28,0,21,0,0,0,19
"1134018",2692,0,107,50,0,0,0,0,1,6,0,48,1,34,0,0,0,31
"1134019",2693,1,187,61,3,1,2,2,0,1,0,225,4,99,0,3,1,37
"1134020",2694,0,57,15,0,1,0,0,0,3,0,67,3,30,0,2,0,20
"1134021",2695,1,243,55,2,1,0,0,3,5,0,189,4,107,0,5,1,99
"1134022",2696,3,91,24,3,2,1,1,3,7,0,99,1,52,1,5,3,22
"1134023",2697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1134024",2698,9,133,48,0,2,0,5,0,1,0,97,5,15,0,5,2,10
"1134025",2699,1,12,6,0,0,0,0,0,0,0,22,1,4,0,1,0,0
"1134026",2700,0,8,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0
"1134027",2701,1,16,4,1,0,0,0,0,0,0,22,0,3,0,0,0,0
"1134028",2702,2,67,18,3,0,1,1,0,0,0,38,5,7,0,3,0,2
"1134029",2703,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1134030",2704,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"1134031",2705,8,180,48,4,4,1,3,1,0,0,110,12,14,0,5,2,8
