CNTYVTD,VTDKEY,ButcherD_24P_U.S. Rep 32,ChaudhryD_24P_U.S. Rep 32,CornwallisD_24P_U.S. Rep 32,FelderD_24P_U.S. Rep 32,JohnsonD_24P_U.S. Rep 32,ManningD_24P_U.S. Rep 32,McDowellD_24P_U.S. Rep 32,MooreD_24P_U.S. Rep 32,PanayiotouD_24P_U.S. Rep 32,WilliamsD_24P_U.S. Rep 32
1132523,2413,12,3,2,3,72,3,6,6,3,9
1132901,2440,7,2,1,1,40,6,5,10,3,7
1132902,2441,9,7,6,2,75,3,5,4,1,26
1132903,2442,6,12,7,1,105,7,21,8,4,38
1132913,2447,0,0,0,0,0,0,0,0,0,0
113291,2448,0,0,0,0,0,0,0,0,0,0
1133116,2570,0,0,0,0,0,0,0,0,0,1
1133308,2596,5,5,7,7,30,4,11,8,5,32
1133314,2602,8,10,15,10,94,12,12,27,2,108
1133327,2610,0,0,0,0,1,0,0,0,0,0
1133328,2611,0,1,0,0,0,0,0,0,0,0
1212100,3038,20,10,5,9,69,10,11,19,5,43
1212101,3039,16,9,9,5,73,7,14,29,1,38
1212102,3040,15,8,8,2,161,7,50,26,0,48
1212103,3041,4,4,4,2,70,0,27,8,2,39
1212109,3047,18,9,5,8,112,6,68,23,1,53
