CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout,Turnout_Rate
270404,243,4065,132,702,0.036231884057971,0.03247232472324723
270405,244,5533,241,867,0.0493827160493827,0.04355684077354057
270406,245,3455,99,531,0.142857142857143,0.02865412445730825
270408,246,5558,246,874,0.0956175298804781,0.04426052536883771
270409,247,2546,157,420,0.062111801242236,0.06166535742340927
270410,248,3522,78,600,0.141176470588235,0.022146507666098807
270412,249,4128,229,578,0.05,0.05547480620155039
270413,250,4866,171,762,0.0659340659340659,0.03514180024660912
270414,251,4788,181,658,0.105820105820106,0.03780284043441938
270415,252,3639,123,535,0.0381679389312977,0.033800494641384994
270419,253,1196,42,77,0.0,0.03511705685618729
291001,254,472,97,221,0.510204081632653,0.2055084745762712
291002,255,677,54,382,0.474576271186441,0.07976366322008863
291003,256,2249,194,1336,0.621890547263682,0.08626056024899956
291004,257,1047,76,788,0.730769230769231,0.0725883476599809
291005,258,837,73,702,0.756410256410256,0.08721624850657109
291006,259,2110,197,1804,0.901477832512315,0.09336492890995261
291007,260,1248,112,1074,0.912280701754386,0.08974358974358974
291008,261,1798,245,875,0.445736434108527,0.13626251390433816
291009,262,1885,82,926,0.506024096385542,0.04350132625994695
291010,263,648,76,439,0.565789473684211,0.11728395061728394
291011,264,1108,95,926,0.83495145631068,0.08574007220216606
291012,265,2212,132,1527,0.693333333333333,0.059674502712477394
291013,266,2376,204,2081,0.88785046728972,0.08585858585858586
291014,267,1405,70,1195,0.933333333333333,0.0498220640569395
291015,268,1404,87,1250,0.922222222222222,0.06196581196581197
291016,269,1198,80,1071,0.925925925925926,0.0667779632721202
291017,270,258,20,137,0.473684210526316,0.07751937984496124
291018,271,942,73,799,0.858974358974359,0.07749469214437367
291019,272,854,77,647,0.688311688311688,0.09016393442622951
291020,273,1732,145,1360,0.696774193548387,0.08371824480369515
291021,274,1698,126,1447,0.861538461538462,0.07420494699646643
291022,275,926,72,799,0.897435897435897,0.07775377969762419
291023,276,2549,154,2279,0.933333333333333,0.06041584935268733
291024,277,3058,225,1853,0.591666666666667,0.0735775016350556
291025,278,699,28,637,0.964285714285714,0.04005722460658083
291026,279,1284,61,1123,0.840579710144927,0.04750778816199377
291027,280,567,21,294,0.571428571428571,0.037037037037037035
291028,281,723,39,591,0.86046511627907,0.05394190871369295
291029,282,1875,147,1575,0.865030674846626,0.0784
291030,283,140,4,94,0.5,0.02857142857142857
291031,284,1535,96,1316,0.872727272727273,0.06254071661237785
291032,285,2397,116,2077,0.92,0.04839382561535253
291033,286,2158,89,1481,0.768421052631579,0.041241890639481
291034,287,6133,269,2127,0.330960854092527,0.043861079406489485
291035,288,942,1,103,0.333333333333333,0.0010615711252653928
291036,289,3568,171,2173,0.486486486486487,0.047926008968609865
291037,290,2461,153,1733,0.773006134969325,0.06216984965461195
291038,291,3797,206,2652,0.647887323943662,0.05425335791414274
291039,292,3325,96,2660,0.808080808080808,0.02887218045112782
291040,293,2756,168,2342,0.883597883597884,0.06095791001451379
291041,294,2340,135,2015,0.790540540540541,0.057692307692307696
291042,295,1156,83,1030,0.885057471264368,0.07179930795847751
291043,296,1586,86,1137,0.760869565217391,0.05422446406052964
291044,297,2061,176,1790,0.878306878306878,0.0853954391072295
291045,298,3342,242,2792,0.903361344537815,0.07241172950329144
291046,299,2091,181,1746,0.897849462365591,0.08656145384983262
291047,300,1735,115,1461,0.868852459016393,0.06628242074927954
291048,301,2282,193,1866,0.829015544041451,0.0845749342681858
291049,302,2522,196,2085,0.873239436619718,0.07771609833465504
291050,303,828,68,660,0.771428571428571,0.0821256038647343
291051,304,2076,177,1556,0.825136612021858,0.08526011560693642
291052,305,2101,188,1623,0.814634146341463,0.0894811994288434
291053,306,257,37,193,0.742857142857143,0.14396887159533073
291054,307,2782,254,2155,0.82051282051282,0.09130122214234364
291055,308,2011,172,1015,0.477011494252874,0.08552958727001492
291056,309,4281,254,3147,0.767790262172285,0.05933193179163747
291057,310,2778,98,1753,0.622448979591837,0.035277177825773935
291058,311,2967,141,1990,0.774647887323944,0.047522750252780584
291059,312,573,26,370,0.708333333333333,0.04537521815008726
291060,313,3191,160,2719,0.837349397590361,0.050141021623315574
291061,314,2839,87,2241,0.66304347826087,0.03064459316660796
291062,315,355,7,240,0.875,0.01971830985915493
291063,316,2505,109,1697,0.783783783783784,0.043512974051896205
291064,317,1340,54,944,0.824561403508772,0.04029850746268657
291065,318,2560,131,1830,0.718518518518519,0.051171875
291066,319,868,36,628,0.717948717948718,0.041474654377880185
291067,320,3577,123,2212,0.635658914728682,0.034386357282639085
291068,321,5380,134,2673,0.51063829787234,0.02490706319702602
291069,322,490,54,220,0.709090909090909,0.11020408163265306
291070,323,1201,55,768,0.655172413793103,0.04579517069109076
291071,324,2024,119,1246,0.414634146341463,0.058794466403162056
291072,325,2064,129,1034,0.560606060606061,0.0625
291073,326,3889,177,1553,0.365079365079365,0.04551298534327591
291074,327,23,0,15,0.0,0.0
291075,328,2571,120,1904,0.75,0.046674445740956826
291076,329,2940,217,1704,0.493617021276596,0.07380952380952381
291077,330,1608,151,1372,0.905660377358491,0.09390547263681592
291078,331,539,39,479,0.904761904761905,0.07235621521335807
291079,332,2659,165,1309,0.521212121212121,0.062053403535163594
291080,333,3087,96,1510,0.443298969072165,0.031098153547133137
291081,334,3016,174,841,0.2,0.057692307692307696
291082,335,3179,176,2075,0.657894736842105,0.05536332179930796
291083,336,2780,214,1412,0.486486486486487,0.07697841726618705
291084,337,1943,128,1405,0.801418439716312,0.06587750900669069
291085,338,1705,106,1167,0.669642857142857,0.06217008797653959
291086,339,2484,211,1593,0.687224669603524,0.08494363929146538
291087,340,1653,94,1146,0.572815533980582,0.056866303690260134
291088,341,951,49,818,0.938775510204082,0.05152471083070452
291089,342,44,10,38,0.9,0.22727272727272727
291090,343,0,0,0,0.0,0.0
291091,344,2460,188,1928,0.817708333333333,0.07642276422764227
291092,345,1768,70,1366,0.855072463768116,0.03959276018099547
291093,346,1451,82,617,0.215909090909091,0.05651274982770503
291094,347,3547,112,2164,0.666666666666667,0.03157597970115591
291095,348,336,8,50,0.375,0.023809523809523808
291096,349,191,9,141,0.444444444444444,0.04712041884816754
291097,350,854,56,729,0.885245901639344,0.06557377049180328
291098,351,1288,117,864,0.7109375,0.09083850931677019
291099,352,2884,236,1468,0.446280991735537,0.08183079056865465
291100,353,3034,191,1588,0.492537313432836,0.06295319709953856
291101,354,0,0,0,0.0,0.0
291102,355,1289,70,752,0.671428571428571,0.05430566330488751
291103,356,1999,81,823,0.464285714285714,0.04052026013006503
291104,357,3198,298,1686,0.47588424437299,0.09318323952470293
291105,358,1033,47,770,0.736842105263158,0.04549854791868345
291106,359,0,0,0,0.0,0.0
291107,360,3547,191,2438,0.688775510204082,0.05384832252607838
291108,361,1894,127,823,0.3125,0.06705385427666315
291109,362,3,0,0,0.0,0.0
291110,363,3614,137,1700,0.394160583941606,0.03790813503043719
291111,364,3431,263,1791,0.511029411764706,0.07665403672398717
291112,365,2686,134,1603,0.619718309859155,0.04988830975428146
291113,366,3041,197,1216,0.425,0.06478132193357448
291114,367,484,11,326,0.833333333333333,0.022727272727272728
291115,368,1098,89,880,0.860215053763441,0.08105646630236794
291116,369,1506,104,628,0.405660377358491,0.06905710491367861
291117,370,348,30,297,0.931034482758621,0.08620689655172414
291118,371,5002,234,2019,0.323770491803279,0.046781287485006
291119,372,144,7,114,1.0,0.04861111111111111
291120,373,168,12,127,0.538461538461538,0.07142857142857142
291121,374,3678,169,1371,0.392857142857143,0.04594888526373029
291122,375,3022,161,1142,0.425149700598802,0.05327597617471873
291122,376,146,8,29,0.375,0.0547945205479452
291123,377,671,22,437,0.833333333333333,0.03278688524590164
291124,378,236,17,192,0.85,0.07203389830508475
291125,379,2264,129,969,0.481203007518797,0.05697879858657244
291126,380,0,0,0,0.0,0.0
291127,381,614,45,513,0.854166666666667,0.0732899022801303
291128,382,2984,98,1603,0.534653465346535,0.03284182305630027
291129,383,4127,311,1444,0.385321100917431,0.07535740247152896
291130,384,0,0,0,0.0,0.0
291131,385,0,0,0,0.0,0.0
291132,386,540,39,389,0.738095238095238,0.07222222222222222
291133,387,5,0,1,0.0,0.0
291134,388,0,0,0,0.0,0.0
291135,389,0,0,0,0.0,0.0
291136,390,158,9,100,0.777777777777778,0.056962025316455694
291137,391,0,0,0,0.0,0.0
291138,392,1164,43,497,0.468085106382979,0.036941580756013746
291139,393,2214,131,1290,0.536764705882353,0.05916892502258356
291140,394,1320,70,676,0.565217391304348,0.05303030303030303
291141,395,4102,180,1787,0.398936170212766,0.04388103364212579
291142,396,2271,65,1444,0.567164179104478,0.028621752531924262
291143,397,4067,237,1442,0.343629343629344,0.05827391197442833
291144,398,3147,528,375,0.200710479573712,0.16777883698760723
