CNTYVTD,VTDKEY,KimbroughD_18P_U.S. Sen,HernandezD_18P_U.S. Sen,O'RourkeD_18P_U.S. Sen
0291054,307,15,120,115
0291055,308,11,68,112
0291056,309,13,91,87
0291057,310,8,26,36
0291058,311,8,56,53
0291059,312,3,7,6
0291060,313,12,69,51
0291061,314,8,40,63
0291062,315,0,3,1
0291063,316,5,31,32
0291064,317,7,37,28
0291065,318,7,40,68
0291066,319,3,9,17
0291067,320,16,48,34
0291068,321,1,12,13
0291069,322,8,20,30
0291070,323,11,23,35
0291071,324,13,59,54
0291072,325,10,39,76
0291073,326,15,52,108
0291074,327,0,0,1
0291075,328,12,56,50
0291076,329,19,88,102
0291077,330,6,54,96
0291078,331,2,12,23
0291079,332,8,44,91
0291080,333,13,66,83
0291081,334,7,16,52
0291082,335,7,68,99
0291083,336,20,73,123
0291084,337,10,59,73
0291085,338,12,41,62
0291086,339,21,90,109
0291087,340,10,45,48
0291088,341,4,36,34
0291089,342,0,2,3
0291090,343,0,0,0
0291091,344,11,65,68
0291092,345,4,9,26
0291093,346,6,16,30
0291094,347,6,32,41
0291095,348,0,0,4
0291096,349,0,3,1
0291097,350,2,24,36
0291098,351,4,35,75
0291099,352,19,97,115
0291100,353,16,75,111
0291101,354,0,1,0
0291102,355,2,14,29
0291103,356,3,5,9
0291104,357,25,100,177
0291105,358,2,18,15
0291106,359,0,0,0
0291107,360,12,63,53
0291108,361,19,33,87
0291109,362,0,0,0
0291110,363,9,38,60
0291111,364,24,93,138
0291112,365,10,50,55
0291113,366,17,54,116
0291114,367,0,0,0
0291115,368,11,45,52
0291116,369,8,25,33
0291117,370,4,17,7
0291118,371,5,21,52
0291119,372,0,2,2
0291120,373,0,1,3
0291121,374,11,42,96
0291122,375,21,76,138
0291122,376,1,4,6
0291123,377,2,11,9
0291124,378,1,7,8
0291125,379,8,39,86
0291126,380,0,0,0
0291127,381,4,17,15
0291128,382,1,23,29
0291129,383,6,11,30
0291130,384,0,0,0
0291131,385,0,0,0
0291132,386,2,18,18
0291133,387,0,0,0
0291134,388,0,0,0
0291135,389,0,0,0
0291136,390,3,4,6
0291137,391,0,0,0
0291138,392,1,5,9
0291139,393,6,35,40
0291140,394,1,14,31
0291141,395,1,20,32
0291142,396,12,32,42
0291143,397,11,45,76
0291144,398,17,54,183
0291145,399,1,2,6
0291146,400,2,6,5
0291147,401,8,45,91
0291148,402,1,9,12
0291149,403,13,65,78
0291150,404,5,30,53
0291151,405,6,20,41
0291152,406,8,29,49
0291153,407,1,5,16
0291154,408,6,18,37
0291154,409,0,1,2
0291154,410,0,0,2
0291155,411,4,37,46
0291156,412,15,37,110
0291157,413,9,57,50
0291158,414,4,17,22
0291159,415,0,18,13
0292001,416,3,22,25
0292002,417,11,56,34
0292003,418,10,66,81
0292004,419,15,92,86
0292005,420,7,65,75
0292006,421,0,1,1
0292007,422,8,74,51
0292008,423,8,44,43
0292009,424,7,20,90
0292010,425,10,27,102
0292011,426,10,89,66
0292012,427,7,43,37
0292013,428,9,70,72
0292014,429,11,65,53
0292015,430,6,44,47
0292016,431,3,34,22
0292017,432,4,38,23
0292018,433,3,52,63
0292019,434,1,38,35
0292020,435,31,137,85
0292021,436,3,67,73
0292022,437,9,52,49
0292023,438,15,125,133
0292024,439,9,80,85
0292025,440,10,115,172
0292026,441,16,82,181
0292027,442,13,71,142
0292028,443,24,111,243
0292029,444,3,49,45
0292030,445,9,37,41
0292031,446,5,38,34
0292032,447,1,22,23
0292033,448,4,25,22
0292034,449,5,11,21
0292035,450,4,37,267
0292036,451,11,27,348
0292037,452,14,45,93
0292038,453,9,52,148
0292039,454,6,56,159
0292040,455,14,88,163
0292041,456,12,120,136
0292042,457,5,69,50
0292043,458,4,40,28
0292044,459,7,56,52
0292045,460,9,67,209
0292046,461,17,87,299
0292047,462,16,69,194
0292048,463,5,61,66
0292049,464,12,105,171
0292050,465,8,69,107
0292051,466,2,15,42
0292052,467,2,27,28
0292053,468,6,33,66
0292054,469,16,64,293
0292055,470,4,24,288
0292056,471,10,45,89
0292057,472,13,43,86
0292058,473,9,61,92
0292059,474,9,72,123
0292060,475,7,58,130
0292061,476,3,15,44
0292062,477,6,40,80
0292063,478,2,39,104
0292064,479,14,78,132
0292065,480,4,29,36
0292065,481,0,0,2
0292066,482,26,97,238
0292067,483,4,8,37
0292068,484,28,132,246
0292069,485,14,75,125
0292070,486,11,108,63
0292071,487,5,21,22
0292072,488,23,74,141
0292073,489,6,37,67
0292074,490,2,20,13
0292075,491,3,31,32
0292076,492,14,51,118
0292077,493,12,55,128
0292078,494,18,74,89
0292079,495,3,18,16
0292080,496,6,35,55
0292081,497,4,17,63
0292082,498,5,41,75
0292083,499,5,31,111
0292084,500,27,79,232
0292085,501,13,40,76
0292086,502,15,96,174
0292087,503,13,51,116
