CNTYVTD,VTDKEY,AllredD_18P_U.S. Rep 32,MaternowskiD_18P_U.S. Rep 32,ShippD_18P_U.S. Rep 32,MarshallD_18P_U.S. Rep 32,SalernoD_18P_U.S. Rep 32,RodriguezD_18P_U.S. Rep 32,MeierD_18P_U.S. Rep 32,AllredD_18P_U.S. Rep 32_Percentage,MaternowskiD_18P_U.S. Rep 32_Percentage,ShippD_18P_U.S. Rep 32_Percentage,MarshallD_18P_U.S. Rep 32_Percentage,SalernoD_18P_U.S. Rep 32_Percentage,RodriguezD_18P_U.S. Rep 32_Percentage,MeierD_18P_U.S. Rep 32_Percentage
1131702,2172,56,8,48,8,26,18,19,0.30601092896174864,0.04371584699453552,0.26229508196721313,0.04371584699453552,0.14207650273224043,0.09836065573770492,0.10382513661202186
1131703,2173,42,7,50,11,19,16,23,0.25,0.041666666666666664,0.2976190476190476,0.06547619047619048,0.1130952380952381,0.09523809523809523,0.13690476190476192
1131704,2174,31,5,17,3,21,12,8,0.31958762886597936,0.05154639175257732,0.17525773195876287,0.030927835051546393,0.21649484536082475,0.12371134020618557,0.08247422680412371
1131705,2175,33,6,27,5,27,17,15,0.25384615384615383,0.046153846153846156,0.2076923076923077,0.038461538461538464,0.2076923076923077,0.13076923076923078,0.11538461538461539
1131706,2176,37,7,24,8,30,27,12,0.25517241379310346,0.04827586206896552,0.16551724137931034,0.05517241379310345,0.20689655172413793,0.18620689655172415,0.08275862068965517
1131708,2178,18,3,10,2,13,6,5,0.3157894736842105,0.05263157894736842,0.17543859649122806,0.03508771929824561,0.22807017543859648,0.10526315789473684,0.08771929824561403
1131709,2179,100,8,27,23,68,54,34,0.3184713375796178,0.025477707006369428,0.08598726114649681,0.0732484076433121,0.21656050955414013,0.17197452229299362,0.10828025477707007
1131710,2180,49,4,24,8,24,18,14,0.3475177304964539,0.028368794326241134,0.1702127659574468,0.05673758865248227,0.1702127659574468,0.1276595744680851,0.09929078014184398
1131711,2181,20,3,18,2,20,14,12,0.2247191011235955,0.033707865168539325,0.20224719101123595,0.02247191011235955,0.2247191011235955,0.15730337078651685,0.1348314606741573
1131712,2182,45,3,27,4,24,6,19,0.3515625,0.0234375,0.2109375,0.03125,0.1875,0.046875,0.1484375
1131713,2183,35,4,17,8,24,18,12,0.2966101694915254,0.03389830508474576,0.1440677966101695,0.06779661016949153,0.2033898305084746,0.15254237288135594,0.1016949152542373
1131714,2184,15,1,17,3,9,6,5,0.26785714285714285,0.017857142857142856,0.30357142857142855,0.05357142857142857,0.16071428571428573,0.10714285714285714,0.08928571428571429
1131715,2185,16,2,13,5,12,20,8,0.21052631578947367,0.02631578947368421,0.17105263157894737,0.06578947368421052,0.15789473684210525,0.2631578947368421,0.10526315789473684
1131716,2186,46,5,47,5,26,18,36,0.25136612021857924,0.0273224043715847,0.2568306010928962,0.0273224043715847,0.14207650273224043,0.09836065573770492,0.19672131147540983
1131717,2187,66,5,50,15,46,39,30,0.26294820717131473,0.0199203187250996,0.199203187250996,0.05976095617529881,0.18326693227091634,0.1553784860557769,0.11952191235059761
1131718,2188,25,6,21,7,21,15,9,0.2403846153846154,0.057692307692307696,0.20192307692307693,0.0673076923076923,0.20192307692307693,0.14423076923076922,0.08653846153846154
1131721,2191,58,5,33,6,32,19,22,0.3314285714285714,0.02857142857142857,0.18857142857142858,0.03428571428571429,0.18285714285714286,0.10857142857142857,0.12571428571428572
1131722,2192,60,2,33,21,47,20,20,0.2955665024630542,0.009852216748768473,0.1625615763546798,0.10344827586206896,0.2315270935960591,0.09852216748768473,0.09852216748768473
1131723,2193,4,0,0,3,2,2,3,0.2857142857142857,0.0,0.0,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.21428571428571427
1131724,2194,3,0,2,0,1,0,2,0.375,0.0,0.25,0.0,0.125,0.0,0.25
1131725,2195,10,0,12,1,7,3,8,0.24390243902439024,0.0,0.2926829268292683,0.024390243902439025,0.17073170731707318,0.07317073170731707,0.1951219512195122
1131726,2196,33,1,26,3,16,19,10,0.3055555555555556,0.009259259259259259,0.24074074074074073,0.027777777777777776,0.14814814814814814,0.17592592592592593,0.09259259259259259
1131727,2197,1,0,1,1,7,6,0,0.0625,0.0,0.0625,0.0625,0.4375,0.375,0.0
1131729,2199,34,3,16,2,18,11,4,0.38636363636363635,0.03409090909090909,0.18181818181818182,0.022727272727272728,0.20454545454545456,0.125,0.045454545454545456
1131732,2202,21,4,13,9,13,6,2,0.3088235294117647,0.058823529411764705,0.19117647058823528,0.1323529411764706,0.19117647058823528,0.08823529411764706,0.029411764705882353
1131733,2203,66,5,45,9,47,18,20,0.3142857142857143,0.023809523809523808,0.21428571428571427,0.04285714285714286,0.22380952380952382,0.08571428571428572,0.09523809523809523
1131734,2204,26,3,22,7,7,9,13,0.2988505747126437,0.034482758620689655,0.25287356321839083,0.08045977011494253,0.08045977011494253,0.10344827586206896,0.14942528735632185
1131735,2205,124,11,66,17,55,35,38,0.3583815028901734,0.031791907514450865,0.1907514450867052,0.049132947976878616,0.15895953757225434,0.10115606936416185,0.10982658959537572
1131736,2206,50,1,30,3,25,5,15,0.3875968992248062,0.007751937984496124,0.23255813953488372,0.023255813953488372,0.1937984496124031,0.03875968992248062,0.11627906976744186
1131737,2207,128,8,62,17,60,27,39,0.375366568914956,0.02346041055718475,0.18181818181818182,0.04985337243401759,0.17595307917888564,0.07917888563049853,0.11436950146627566
1131738,2208,22,3,21,3,20,10,16,0.23157894736842105,0.031578947368421054,0.22105263157894736,0.031578947368421054,0.21052631578947367,0.10526315789473684,0.16842105263157894
1131739,2209,90,8,49,18,42,26,32,0.33962264150943394,0.03018867924528302,0.18490566037735848,0.06792452830188679,0.15849056603773584,0.09811320754716982,0.12075471698113208
1131740,2210,93,9,39,29,68,37,38,0.2971246006389776,0.02875399361022364,0.12460063897763578,0.0926517571884984,0.21725239616613418,0.1182108626198083,0.12140575079872204
1131741,2211,122,11,68,28,65,40,46,0.32105263157894737,0.02894736842105263,0.17894736842105263,0.07368421052631578,0.17105263157894737,0.10526315789473684,0.12105263157894737
1131742,2212,99,13,62,24,67,33,40,0.29289940828402367,0.038461538461538464,0.1834319526627219,0.07100591715976332,0.19822485207100593,0.09763313609467456,0.11834319526627218
1131743,2213,126,9,66,27,62,54,42,0.32642487046632124,0.023316062176165803,0.17098445595854922,0.06994818652849741,0.16062176165803108,0.13989637305699482,0.10880829015544041
1131745,2215,62,7,33,9,25,33,19,0.32978723404255317,0.03723404255319149,0.17553191489361702,0.047872340425531915,0.13297872340425532,0.17553191489361702,0.10106382978723404
1131746,2216,46,2,27,11,21,16,23,0.3150684931506849,0.0136986301369863,0.18493150684931506,0.07534246575342465,0.14383561643835616,0.1095890410958904,0.15753424657534246
1131747,2217,84,10,31,12,33,27,24,0.38009049773755654,0.04524886877828054,0.14027149321266968,0.05429864253393665,0.1493212669683258,0.12217194570135746,0.1085972850678733
1131748,2218,39,5,32,8,32,16,28,0.24375,0.03125,0.2,0.05,0.2,0.1,0.175
1131749,2219,82,6,41,17,67,28,22,0.311787072243346,0.022813688212927757,0.155893536121673,0.06463878326996197,0.25475285171102663,0.10646387832699619,0.08365019011406843
1131750,2220,83,4,31,8,34,15,20,0.4256410256410256,0.020512820512820513,0.15897435897435896,0.041025641025641026,0.17435897435897435,0.07692307692307693,0.10256410256410256
1131751,2221,130,11,53,8,59,31,26,0.4088050314465409,0.03459119496855346,0.16666666666666666,0.025157232704402517,0.18553459119496854,0.09748427672955975,0.08176100628930817
1131752,2222,109,9,39,14,59,34,27,0.3745704467353952,0.030927835051546393,0.13402061855670103,0.048109965635738834,0.2027491408934708,0.11683848797250859,0.09278350515463918
1132007,2230,177,5,49,2,41,8,47,0.5379939209726444,0.015197568389057751,0.14893617021276595,0.0060790273556231,0.12462006079027356,0.0243161094224924,0.14285714285714285
1132008,2231,97,6,27,0,18,3,37,0.5159574468085106,0.031914893617021274,0.14361702127659576,0.0,0.09574468085106383,0.015957446808510637,0.19680851063829788
1132011,2234,89,1,39,4,38,9,38,0.40825688073394495,0.0045871559633027525,0.17889908256880735,0.01834862385321101,0.1743119266055046,0.04128440366972477,0.1743119266055046
1132016,2236,174,7,60,6,67,11,53,0.4603174603174603,0.018518518518518517,0.15873015873015872,0.015873015873015872,0.17724867724867724,0.0291005291005291,0.1402116402116402
1132017,2237,44,2,16,2,31,14,12,0.36363636363636365,0.01652892561983471,0.1322314049586777,0.01652892561983471,0.256198347107438,0.11570247933884298,0.09917355371900827
1132018,2238,41,0,20,2,16,0,20,0.41414141414141414,0.0,0.20202020202020202,0.020202020202020204,0.16161616161616163,0.0,0.20202020202020202
1132019,2239,89,2,26,3,34,8,41,0.43842364532019706,0.009852216748768473,0.12807881773399016,0.014778325123152709,0.16748768472906403,0.03940886699507389,0.2019704433497537
1132020,2240,204,5,78,3,67,13,54,0.4811320754716981,0.01179245283018868,0.18396226415094338,0.007075471698113208,0.1580188679245283,0.030660377358490566,0.12735849056603774
1132021,2241,164,4,61,4,52,8,81,0.4385026737967914,0.0106951871657754,0.16310160427807488,0.0106951871657754,0.13903743315508021,0.0213903743315508,0.21657754010695188
1132022,2242,49,0,13,1,8,6,24,0.48514851485148514,0.0,0.12871287128712872,0.009900990099009901,0.07920792079207921,0.0594059405940594,0.2376237623762376
1132023,2243,69,2,50,3,35,6,27,0.359375,0.010416666666666666,0.2604166666666667,0.015625,0.18229166666666666,0.03125,0.140625
1132024,2244,86,3,35,1,21,7,18,0.5029239766081871,0.017543859649122806,0.2046783625730994,0.005847953216374269,0.12280701754385964,0.04093567251461988,0.10526315789473684
1132025,2245,126,2,49,1,49,7,66,0.42,0.006666666666666667,0.16333333333333333,0.0033333333333333335,0.16333333333333333,0.023333333333333334,0.22
1132026,2246,103,3,41,2,40,10,55,0.40551181102362205,0.011811023622047244,0.16141732283464566,0.007874015748031496,0.15748031496062992,0.03937007874015748,0.21653543307086615
1132027,2247,59,1,20,3,21,4,35,0.4125874125874126,0.006993006993006993,0.13986013986013987,0.02097902097902098,0.14685314685314685,0.027972027972027972,0.24475524475524477
1132030,2249,51,2,19,2,15,4,26,0.42857142857142855,0.01680672268907563,0.15966386554621848,0.01680672268907563,0.12605042016806722,0.03361344537815126,0.2184873949579832
1132031,2250,117,13,47,10,75,17,42,0.3644859813084112,0.040498442367601244,0.14641744548286603,0.03115264797507788,0.2336448598130841,0.0529595015576324,0.1308411214953271
1132032,2251,65,11,34,10,29,9,19,0.3672316384180791,0.062146892655367235,0.192090395480226,0.05649717514124294,0.1638418079096045,0.05084745762711865,0.10734463276836158
1132033,2252,78,6,30,3,45,9,32,0.3842364532019704,0.029556650246305417,0.1477832512315271,0.014778325123152709,0.22167487684729065,0.04433497536945813,0.15763546798029557
1132035,2253,59,8,24,4,37,3,16,0.39072847682119205,0.052980132450331126,0.15894039735099338,0.026490066225165563,0.24503311258278146,0.019867549668874173,0.10596026490066225
1132037,2254,20,0,8,1,10,3,15,0.3508771929824561,0.0,0.14035087719298245,0.017543859649122806,0.17543859649122806,0.05263157894736842,0.2631578947368421
1132038,2255,188,12,49,4,94,16,98,0.4078091106290672,0.026030368763557483,0.10629067245119306,0.008676789587852495,0.2039045553145336,0.03470715835140998,0.21258134490238612
1132039,2256,206,7,55,6,72,14,75,0.4735632183908046,0.016091954022988506,0.12643678160919541,0.013793103448275862,0.16551724137931034,0.03218390804597701,0.1724137931034483
1132040,2257,123,4,20,2,21,3,39,0.5801886792452831,0.018867924528301886,0.09433962264150944,0.009433962264150943,0.09905660377358491,0.014150943396226415,0.18396226415094338
1132042,2259,237,5,51,1,74,39,47,0.5220264317180616,0.011013215859030838,0.11233480176211454,0.0022026431718061676,0.16299559471365638,0.08590308370044053,0.10352422907488987
1132043,2260,140,4,44,3,50,25,30,0.47297297297297297,0.013513513513513514,0.14864864864864866,0.010135135135135136,0.16891891891891891,0.08445945945945946,0.10135135135135136
1132044,2261,60,3,20,2,16,7,15,0.4878048780487805,0.024390243902439025,0.16260162601626016,0.016260162601626018,0.13008130081300814,0.056910569105691054,0.12195121951219512
1132045,2262,153,1,37,6,33,23,28,0.5444839857651246,0.0035587188612099642,0.13167259786476868,0.021352313167259787,0.11743772241992882,0.08185053380782918,0.099644128113879
1132046,2263,123,5,33,3,45,12,24,0.5020408163265306,0.02040816326530612,0.1346938775510204,0.012244897959183673,0.1836734693877551,0.04897959183673469,0.09795918367346938
