CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
291026,279,1301,95,1139,0.857142857142857
291027,280,526,37,262,0.525
291028,281,760,71,619,0.810810810810811
291029,282,1931,188,1629,0.882926829268293
291030,283,110,4,67,0.75
291031,284,1525,121,1309,0.886363636363636
291032,285,2450,178,2140,0.887096774193548
291033,286,2186,132,1478,0.735714285714286
291034,287,4999,299,1646,0.352380952380952
291035,288,1009,14,110,0.0625
291036,289,3600,252,2167,0.559859154929577
291037,290,2512,194,1748,0.730769230769231
291038,291,3391,228,2335,0.698039215686274
291039,292,3270,119,2642,0.802919708029197
291040,293,2726,189,2321,0.909090909090909
291041,294,2357,174,2038,0.841269841269841
291042,295,1177,106,1058,0.867256637168142
291043,296,1614,110,1158,0.701754385964912
291044,297,2066,210,1816,0.911504424778761
291045,298,3293,270,2782,0.907849829351536
291046,299,2087,199,1737,0.85781990521327
291047,300,1763,138,1485,0.880794701986755
291048,301,2289,207,1869,0.810810810810811
291049,302,2569,207,2120,0.875576036866359
291050,303,846,85,676,0.736842105263158
291051,304,2066,201,1539,0.849514563106796
291052,305,2117,216,1623,0.828054298642534
291053,306,256,27,190,0.777777777777778
291054,307,2646,304,2064,0.834890965732087
291055,308,1992,219,973,0.515418502202643
291056,309,3634,286,2761,0.75
291057,310,2591,107,1581,0.6
291058,311,2855,146,1901,0.801324503311258
291059,312,458,11,307,0.75
291060,313,2992,200,2593,0.844339622641509
291061,314,2822,163,2233,0.717647058823529
291062,315,212,5,148,0.5
291063,316,2391,99,1595,0.73469387755102
291064,317,1288,60,910,0.828125
291065,318,2427,147,1723,0.730263157894737
291066,319,870,42,628,0.73469387755102
291067,320,3381,126,2064,0.642335766423358
291068,321,3222,102,1664,0.551724137931034
291069,322,480,64,212,0.685714285714286
291070,323,1130,74,737,0.675324675324675
291071,324,1975,159,1189,0.544910179640719
291072,325,2035,188,990,0.582474226804124
291073,326,3752,201,1453,0.410891089108911
291074,327,22,2,16,1.0
291075,328,2453,150,1839,0.798701298701299
291076,329,2924,244,1666,0.550561797752809
291077,330,1666,186,1434,0.872549019607843
291078,331,520,35,462,0.82051282051282
291079,332,2662,214,1242,0.544186046511628
291080,333,2922,142,1441,0.58041958041958
291081,334,2179,132,522,0.150943396226415
291082,335,3199,204,2088,0.671232876712329
291083,336,2764,270,1375,0.514705882352941
291084,337,1997,141,1441,0.75974025974026
291085,338,1741,146,1178,0.7
291086,339,2467,268,1575,0.656028368794326
291087,340,1665,138,1157,0.690140845070423
291088,341,978,89,851,0.923913043478261
291089,342,51,9,43,1.0
291090,343,0,0,0,0.0
291091,344,2377,229,1860,0.767932489451477
291092,345,1416,79,1110,0.807228915662651
291093,346,1346,83,529,0.27906976744186
291094,347,2960,128,1806,0.704545454545455
291095,348,350,6,46,0.5
291096,349,168,10,119,0.545454545454545
291097,350,843,67,728,0.726027397260274
291098,351,1193,174,891,0.698863636363636
291099,352,2844,313,1429,0.513846153846154
291100,353,2928,243,1516,0.522900763358779
291101,354,0,0,0,0.0
291102,355,1109,73,638,0.708333333333333
291103,356,1126,48,467,0.581818181818182
291104,357,3170,356,1666,0.486486486486487
291105,358,807,39,584,0.825
291106,359,0,0,0,0.0
291107,360,3264,182,2252,0.712041884816754
291108,361,1898,142,800,0.34
291109,362,4,0,2,0.0
291110,363,3273,161,1509,0.437125748502994
291111,364,3446,314,1794,0.510835913312694
291112,365,2738,156,1596,0.572289156626506
291113,366,3022,216,1167,0.390350877192982
291114,367,169,5,128,0.833333333333333
291115,368,1077,116,863,0.80672268907563
291116,369,1448,121,589,0.480314960629921
291117,370,356,42,290,0.880952380952381
291118,371,3938,238,1570,0.433198380566802
291119,372,145,4,110,0.75
291120,373,170,6,139,0.666666666666667
291121,374,3603,226,1288,0.392070484581498
291122,375,2747,182,976,0.338624338624339
291122,376,135,9,24,0.333333333333333
291123,377,625,33,400,0.885714285714286
291124,378,226,20,183,0.636363636363636
291125,379,2187,167,926,0.524590163934426
291126,380,0,0,0,0.0
291127,381,621,58,526,0.833333333333333
291128,382,2028,111,1080,0.621848739495798
291129,383,3168,290,1119,0.4
291130,384,0,0,0,0.0
291131,385,0,0,0,0.0
291132,386,546,59,386,0.73015873015873
291133,387,5,0,1,0.0
291134,388,0,0,0,0.0
291135,389,0,0,0,0.0
291136,390,146,2,96,1.0
291137,391,0,0,0,0.0
291138,392,1113,53,482,0.481481481481481
291139,393,2044,127,1231,0.666666666666667
291140,394,1255,82,640,0.5
291141,395,2993,170,1307,0.435754189944134
291142,396,2195,99,1368,0.601941747572815
291143,397,3752,231,1328,0.325301204819277
291144,398,2836,422,321,0.170886075949367
291145,399,913,56,303,0.516129032258065
291146,400,173,11,116,0.555555555555556
291147,401,2711,191,1440,0.46
291148,402,970,34,547,0.552631578947368
291149,403,2198,206,1147,0.57345971563981
291150,404,2746,143,1251,0.610738255033557
291151,405,2728,169,1001,0.405714285714286
291152,406,1624,145,742,0.448275862068966
291153,407,1672,101,706,0.419047619047619
291154,408,2124,186,750,0.373684210526316
291154,409,19,1,7,0.0
291154,410,30,2,16,0.0
291155,411,1521,102,729,0.378640776699029
291156,412,2818,257,1132,0.468401486988848
291157,413,2341,125,1377,0.508064516129032
291158,414,1127,95,670,0.554347826086957
291159,415,319,18,279,0.952380952380952
292001,416,903,46,673,0.782608695652174
292002,417,1196,95,1029,0.877358490566038
292003,418,2112,155,1844,0.841463414634146
292004,419,2882,176,2295,0.781725888324873
292005,420,908,126,641,0.719424460431655
292006,421,21,3,16,1.0
292007,422,1668,129,1458,0.857142857142857
292008,423,1077,92,958,0.898989898989899
292009,424,2316,90,846,0.363636363636364
292010,425,1599,126,684,0.432835820895522
292011,426,1881,170,1557,0.712765957446808
292012,427,1515,108,1334,0.845454545454545
292013,428,1201,147,957,0.821656050955414
292014,429,1190,100,973,0.780952380952381
292015,430,1894,112,1685,0.905982905982906
292016,431,1315,63,1175,0.882352941176471
292017,432,1174,72,1054,0.797297297297297
292018,433,1120,145,976,0.896103896103896
292019,434,1438,102,1297,0.861111111111111
292020,435,4411,302,3333,0.658753709198813
292021,436,2856,175,2497,0.872340425531915
292022,437,1573,113,1374,0.859504132231405
292023,438,2534,272,2040,0.818505338078292
292024,439,1820,165,1372,0.863636363636364
292025,440,2446,284,1875,0.828382838283828
292026,441,2165,298,1239,0.628930817610063
292027,442,1253,225,814,0.694214876033058
292028,443,2043,359,1289,0.689567430025445
292029,444,1245,84,1061,0.910112359550562
292030,445,1466,101,1306,0.906542056074766
292031,446,1620,88,1386,0.938775510204082
292032,447,543,45,467,0.944444444444444
292033,448,1262,51,689,0.770491803278688
292034,449,1477,42,739,0.612244897959184
292035,450,1329,300,496,0.365695792880259
292036,451,1547,359,343,0.221932114882507
292037,452,1535,159,580,0.509090909090909
292038,453,1209,180,547,0.505154639175258
292039,454,1337,210,930,0.645161290322581
292040,455,2553,262,1714,0.686206896551724
292041,456,2797,262,2213,0.820689655172414
292042,457,2158,151,1780,0.792452830188679
292043,458,1222,81,1039,0.908045977011494
292044,459,2591,143,2128,0.875
292045,460,1146,289,640,0.590604026845638
292046,461,1833,392,1213,0.641975308641975
292047,462,1638,256,1072,0.693333333333333
292048,463,1797,142,1477,0.811188811188811
292049,464,2964,274,2170,0.745033112582781
292050,465,1786,212,1160,0.680672268907563
292051,466,779,75,326,0.5375
292052,467,1031,77,845,0.764705882352941
292053,468,1258,136,907,0.711267605633803
292054,469,1923,314,1023,0.484662576687117
292055,470,1645,175,283,0.216666666666667
292056,471,1401,157,1053,0.732142857142857
292057,472,2302,164,1867,0.769662921348315
292058,473,2245,169,1773,0.76
292059,474,2267,223,1610,0.704
292060,475,1613,189,1113,0.694581280788177
292061,476,1177,95,523,0.510416666666667
292062,477,1134,141,742,0.697986577181208
292063,478,2011,157,589,0.343558282208589
292064,479,2320,249,1485,0.650375939849624
292065,480,2171,113,1062,0.463414634146341
292065,481,132,6,68,0.428571428571429
292066,482,3650,425,1469,0.521158129175947
292067,483,272,49,170,0.481481481481481
292068,484,4052,452,1827,0.544513457556936
292069,485,3097,246,1787,0.565543071161049
292070,486,2064,189,1810,0.843137254901961
292071,487,881,65,773,0.852941176470588
292072,488,3252,240,1652,0.554263565891473
292073,489,1210,114,805,0.65625
292074,490,1122,44,992,0.788461538461538
292075,491,1107,70,908,0.835616438356164
292076,492,2426,191,1025,0.565
292077,493,2258,274,1060,0.544483985765125
292078,494,2612,200,1593,0.67741935483871
292079,495,706,43,617,0.883720930232558
292080,496,1434,121,969,0.68
292081,497,847,97,521,0.710280373831776
292082,498,1587,129,1024,0.744360902255639
292083,499,714,164,461,0.654761904761905
292084,500,3287,360,1086,0.41343669250646
292085,501,1396,152,976,0.691358024691358
292086,502,3413,339,1465,0.471910112359551
292087,503,1844,203,807,0.575471698113208
292088,504,3783,397,2016,0.549295774647887
292089,505,546,33,486,0.911764705882353
292090,506,2207,106,1134,0.648648648648649
292091,507,2993,218,1175,0.531818181818182
292092,508,507,27,233,0.444444444444444
292093,509,1838,81,790,0.280487804878049
292094,510,151,29,9,0.117647058823529
292095,511,2374,233,1078,0.50210970464135
292096,512,2416,143,948,0.426666666666667
292097,513,2496,203,1356,0.582938388625592
292098,514,1511,108,990,0.702702702702703
292099,515,1641,151,616,0.49685534591195
292100,516,1303,132,890,0.685714285714286
292101,517,77,3,31,1.0
292102,518,2625,275,1161,0.478723404255319
292103,519,321,18,286,0.842105263157895
292104,520,272,32,211,0.65625
292105,521,575,50,505,0.925925925925926
292106,522,578,32,328,0.771428571428571
292107,523,3508,184,1653,0.513661202185792
292108,524,1177,136,423,0.446808510638298
292109,525,0,0,0,0.0
292110,526,1021,146,441,0.454545454545455
292111,527,1234,78,672,0.530864197530864
292112,528,1791,197,995,0.693023255813954
292113,529,96,4,47,0.75
292114,530,2305,161,1358,0.583815028901734
292115,531,3921,225,1505,0.48605577689243
292116,532,0,0,0,0.0
292117,533,655,60,543,0.825396825396825
292118,534,32,7,26,1.0
292119,535,310,22,111,0.428571428571429
292120,536,2883,168,1174,0.468085106382979
292121,537,514,30,331,0.67741935483871
292122,538,1740,87,715,0.50561797752809
292123,539,2142,137,926,0.448529411764706
292124,540,615,98,297,0.53
292125,541,3628,248,1379,0.436293436293436
292126,542,1627,118,935,0.557377049180328
292127,543,2663,280,1249,0.486206896551724
292128,544,2106,132,1725,0.821428571428571
292129,545,0,0,0,0.0
292130,546,2055,204,1006,0.626794258373206
292131,547,435,35,156,0.375
292132,548,3,0,0,0.0
292133,549,356,40,151,0.347826086956522
292134,550,1509,60,646,0.46969696969697
292135,551,764,65,444,0.676056338028169
292136,552,4077,237,1691,0.483193277310924
292137,553,1198,148,566,0.509677419354839
292138,554,1074,103,487,0.339449541284404
292139,555,1908,145,906,0.516339869281046
292140,556,1888,131,957,0.472602739726027
292141,557,1364,149,638,0.598684210526316
292142,558,692,32,356,0.378378378378378
292143,559,2198,217,1014,0.556521739130435
292144,560,1889,225,986,0.545454545454545
292145,561,341,46,163,0.765957446808511
292146,562,98,8,64,0.7
292147,563,728,44,343,0.520833333333333
292148,564,3823,255,1465,0.505703422053232
292149,565,2297,159,829,0.335483870967742
292150,566,11,1,8,0.0
292151,567,59,1,34,0.0
292152,568,613,53,400,0.684210526315789
292153,569,421,25,184,0.607142857142857
292154,570,4116,243,1761,0.545454545454545
292155,571,2,0,0,0.0
292156,572,1363,86,406,0.423529411764706
292157,573,0,0,0,0.0
292158,574,0,0,0,0.0
292159,575,212,22,92,0.476190476190476
292160,576,6,2,1,0.0
292161,577,214,25,61,0.541666666666667
292162,578,710,39,250,0.384615384615385
292163,579,2473,256,1044,0.513207547169811
292164,580,2120,187,779,0.381909547738693
292165,581,2815,284,1067,0.446308724832215
292166,582,1697,234,744,0.437246963562753
292167,583,63,2,32,1.0
292168,584,1687,162,613,0.497005988023952
292169,585,1511,192,712,0.543689320388349
292170,586,3781,292,1344,0.464646464646465
292171,587,1557,132,649,0.463235294117647
292172,588,412,36,237,0.487179487179487
292173,589,1488,151,624,0.411042944785276
292174,590,2461,336,888,0.445070422535211
292175,591,1882,127,595,0.333333333333333
292176,592,1295,130,503,0.5078125
292177,593,0,0,0,0.0
292178,594,1056,238,692,0.646341463414634
292179,595,54,7,17,0.333333333333333
292180,596,2821,160,1478,0.580645161290323
292180,597,56,3,29,0.666666666666667
292181,598,1171,64,447,0.492063492063492
292181,599,272,14,105,0.428571428571429
292181,600,228,12,103,0.461538461538462
292181,601,453,25,176,0.5
292181,602,118,7,52,0.428571428571429
292181,603,117,6,36,0.5
292181,604,36,2,19,0.5
292182,605,344,20,57,0.476190476190476
292182,606,499,29,140,0.451612903225806
292182,607,1289,75,555,0.441558441558442
293001,608,3787,241,882,0.231660231660232
293002,609,2392,171,718,0.454022988505747
293003,610,1530,104,606,0.459459459459459
293004,611,0,0,0,0.0
293005,612,3607,180,734,0.196891191709845
293006,613,1068,137,366,0.403973509933775
293007,614,3302,180,860,0.238888888888889
293008,615,97,2,10,0.0
293009,616,17,0,1,0.0
293010,617,695,30,259,0.257142857142857
293011,618,961,166,280,0.438202247191011
293012,619,1408,64,287,0.257575757575758
293013,620,1857,193,712,0.429245283018868
293014,621,548,59,216,0.507936507936508
293015,622,1677,191,840,0.564593301435407
293016,623,0,0,0,0.0
293017,624,2829,124,387,0.137404580152672
293018,625,1770,237,215,0.152610441767068
293019,626,279,10,87,0.666666666666667
293020,627,2586,351,352,0.158567774936061
293021,628,2344,144,135,0.115384615384615
293022,629,1598,211,230,0.207964601769911
293023,630,77,10,9,0.222222222222222
293024,631,0,0,0,0.0
293025,632,1765,179,187,0.156756756756757
293026,633,1470,169,106,0.0857142857142857
293027,634,1482,149,328,0.25
293028,635,2138,154,744,0.347826086956522
293029,636,1279,145,448,0.432258064516129
293030,637,2204,223,369,0.188034188034188
293031,638,25,6,12,0.5
293032,639,140,0,44,0.0
293033,640,2217,120,436,0.167883211678832
293034,641,2648,93,188,0.227722772277228
293035,642,810,78,282,0.351648351648352
293036,643,4301,329,1494,0.482456140350877
293037,644,0,7,0,0.0
293038,645,1201,156,494,0.496932515337423
293039,646,4429,200,1041,0.300469483568075
293040,647,2112,188,642,0.366336633663366
293041,648,586,75,175,0.379746835443038
293042,649,2573,153,538,0.259259259259259
293043,650,2983,155,616,0.301204819277108
293044,651,1524,121,387,0.246268656716418
293045,652,1570,141,290,0.233333333333333
293046,653,1515,191,288,0.182648401826484
293047,654,1816,253,273,0.185873605947955
293048,655,1659,208,210,0.192825112107623
293049,656,2113,267,307,0.151943462897526
293050,657,1118,117,217,0.155038759689922
293051,658,369,35,44,0.166666666666667
293052,659,1430,84,353,0.358024691358025
293053,660,2007,193,283,0.158590308370044
293054,661,118,10,49,0.6
293055,662,3520,123,660,0.248062015503876
293056,663,2270,152,878,0.412903225806452
293057,664,595,60,128,0.25
293058,665,3696,227,1356,0.384615384615385
293059,666,2160,103,644,0.298245614035088
293060,667,1957,219,641,0.325
293061,668,2040,171,783,0.439306358381503
