CNTYVTD,VTDKEY,CrockettD_22P_U.S. Rep 30,DixonD_22P_U.S. Rep 30,HamiltonD_22P_U.S. Rep 30,Jones HillD_22P_U.S. Rep 30,LankfordD_22P_U.S. Rep 30,CarawayD_22P_U.S. Rep 30,MasonD_22P_U.S. Rep 30,MulughetaD_22P_U.S. Rep 30,WilliamsD_22P_U.S. Rep 30,CrockettD_22P_U.S. Rep 30_Percentage,DixonD_22P_U.S. Rep 30_Percentage,HamiltonD_22P_U.S. Rep 30_Percentage,Jones HillD_22P_U.S. Rep 30_Percentage,LankfordD_22P_U.S. Rep 30_Percentage,CarawayD_22P_U.S. Rep 30_Percentage,MasonD_22P_U.S. Rep 30_Percentage,MulughetaD_22P_U.S. Rep 30_Percentage,WilliamsD_22P_U.S. Rep 30_Percentage
1133009,2458,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1133011,2460,38,2,11,1,7,2,6,1,2,0.5428571428571428,0.02857142857142857,0.15714285714285714,0.014285714285714285,0.1,0.02857142857142857,0.08571428571428572,0.014285714285714285,0.02857142857142857
1133012,2461,9,0,3,0,0,1,1,0,0,0.6428571428571429,0.0,0.21428571428571427,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0
1133013,2462,28,1,6,2,6,4,2,0,3,0.5384615384615384,0.019230769230769232,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.0,0.057692307692307696
1133014,2463,64,3,6,5,12,14,11,7,7,0.49612403100775193,0.023255813953488372,0.046511627906976744,0.03875968992248062,0.09302325581395349,0.10852713178294573,0.08527131782945736,0.05426356589147287,0.05426356589147287
1133015,2464,2,0,1,2,1,1,1,1,2,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182
1133016,2465,102,3,29,2,16,4,4,10,5,0.5828571428571429,0.017142857142857144,0.1657142857142857,0.011428571428571429,0.09142857142857143,0.022857142857142857,0.022857142857142857,0.05714285714285714,0.02857142857142857
1133017,2466,52,2,2,4,5,3,1,4,1,0.7027027027027027,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.06756756756756757,0.04054054054054054,0.013513513513513514,0.05405405405405406,0.013513513513513514
1133018,2467,145,4,35,16,9,21,10,10,10,0.5576923076923077,0.015384615384615385,0.1346153846153846,0.06153846153846154,0.03461538461538462,0.08076923076923077,0.038461538461538464,0.038461538461538464,0.038461538461538464
1133019,2468,47,2,9,3,6,8,4,3,2,0.5595238095238095,0.023809523809523808,0.10714285714285714,0.03571428571428571,0.07142857142857142,0.09523809523809523,0.047619047619047616,0.03571428571428571,0.023809523809523808
1133020,2469,12,1,1,1,0,1,3,0,1,0.6,0.05,0.05,0.05,0.0,0.05,0.15,0.0,0.05
1133021,2470,54,0,15,2,3,4,5,0,2,0.6352941176470588,0.0,0.17647058823529413,0.023529411764705882,0.03529411764705882,0.047058823529411764,0.058823529411764705,0.0,0.023529411764705882
1133022,2471,75,1,24,2,7,9,11,0,6,0.5555555555555556,0.007407407407407408,0.17777777777777778,0.014814814814814815,0.05185185185185185,0.06666666666666667,0.08148148148148149,0.0,0.044444444444444446
1133023,2472,85,4,29,3,10,10,10,5,8,0.5182926829268293,0.024390243902439025,0.17682926829268292,0.018292682926829267,0.06097560975609756,0.06097560975609756,0.06097560975609756,0.03048780487804878,0.04878048780487805
1133024,2473,108,1,28,5,2,9,4,1,5,0.6625766871165644,0.006134969325153374,0.17177914110429449,0.03067484662576687,0.012269938650306749,0.05521472392638037,0.024539877300613498,0.006134969325153374,0.03067484662576687
1133025,2474,6,0,6,0,0,1,0,0,0,0.46153846153846156,0.0,0.46153846153846156,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
1133026,2475,51,0,8,1,4,4,3,3,5,0.6455696202531646,0.0,0.10126582278481013,0.012658227848101266,0.05063291139240506,0.05063291139240506,0.0379746835443038,0.0379746835443038,0.06329113924050633
1133027,2476,89,2,29,7,6,9,4,6,9,0.5527950310559007,0.012422360248447204,0.18012422360248448,0.043478260869565216,0.037267080745341616,0.055900621118012424,0.024844720496894408,0.037267080745341616,0.055900621118012424
