CNTYVTD,VTDKEY,BlewettR_24P_U.S. Rep 32,DayR_24P_U.S. Rep 32,FeriaR_24P_U.S. Rep 32,KhanR_24P_U.S. Rep 32,BlewettR_24P_U.S. Rep 32_Percentage,DayR_24P_U.S. Rep 32_Percentage,FeriaR_24P_U.S. Rep 32_Percentage,KhanR_24P_U.S. Rep 32_Percentage
1131165,2126,191,47,15,6,0.7374517374517374,0.18146718146718147,0.05791505791505792,0.023166023166023165
1131168,2127,221,113,20,21,0.5893333333333334,0.30133333333333334,0.05333333333333334,0.056
1131169,2128,214,71,25,23,0.6426426426426426,0.2132132132132132,0.07507507507507508,0.06906906906906907
1131170,2129,59,54,13,4,0.45384615384615384,0.4153846153846154,0.1,0.03076923076923077
1131171,2130,89,78,22,17,0.4320388349514563,0.3786407766990291,0.10679611650485436,0.0825242718446602
1131172,2131,84,78,25,12,0.4221105527638191,0.39195979899497485,0.12562814070351758,0.06030150753768844
1131173,2132,44,45,16,11,0.3793103448275862,0.3879310344827586,0.13793103448275862,0.09482758620689655
1131174,2133,142,92,23,21,0.5107913669064749,0.33093525179856115,0.08273381294964029,0.07553956834532374
1131176,2134,0,0,0,0,0.0,0.0,0.0,0.0
1131303,2138,0,0,0,0,0.0,0.0,0.0,0.0
1131307,2141,0,0,0,0,0.0,0.0,0.0,0.0
1131309,2143,0,3,0,0,0.0,1.0,0.0,0.0
1131313,2147,8,2,0,0,0.8,0.2,0.0,0.0
1131314,2148,38,31,17,8,0.40425531914893614,0.32978723404255317,0.18085106382978725,0.0851063829787234
1131328,2156,0,0,0,0,0.0,0.0,0.0,0.0
1131329,2157,0,0,0,0,0.0,0.0,0.0,0.0
1131401,2158,6,2,0,2,0.6,0.2,0.0,0.2
1131402,2159,29,21,11,4,0.4461538461538462,0.3230769230769231,0.16923076923076924,0.06153846153846154
1131403,2160,0,1,1,0,0.0,0.5,0.5,0.0
1131404,2161,4,9,2,0,0.26666666666666666,0.6,0.13333333333333333,0.0
1131405,2162,2,4,0,0,0.3333333333333333,0.6666666666666666,0.0,0.0
1131406,2163,4,7,1,2,0.2857142857142857,0.5,0.07142857142857142,0.14285714285714285
1131407,2164,0,0,0,0,0.0,0.0,0.0,0.0
1131408,2165,0,0,1,0,0.0,0.0,1.0,0.0
1131409,2166,3,5,4,2,0.21428571428571427,0.35714285714285715,0.2857142857142857,0.14285714285714285
1131410,2167,23,22,11,6,0.3709677419354839,0.3548387096774194,0.1774193548387097,0.0967741935483871
1131411,2168,45,35,12,6,0.45918367346938777,0.35714285714285715,0.12244897959183673,0.061224489795918366
1131412,2169,5,6,4,3,0.2777777777777778,0.3333333333333333,0.2222222222222222,0.16666666666666666
1131703,2173,75,60,12,13,0.46875,0.375,0.075,0.08125
1131704,2174,28,41,11,4,0.3333333333333333,0.4880952380952381,0.13095238095238096,0.047619047619047616
1131705,2175,54,46,19,9,0.421875,0.359375,0.1484375,0.0703125
1131706,2176,40,48,12,11,0.36036036036036034,0.43243243243243246,0.10810810810810811,0.0990990990990991
1131707,2177,3,3,0,1,0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285
1131730,2200,0,0,0,0,0.0,0.0,0.0,0.0
1131731,2201,0,0,0,0,0.0,0.0,0.0,0.0
1131748,2218,50,39,16,4,0.45871559633027525,0.3577981651376147,0.14678899082568808,0.03669724770642202
1131749,2219,91,79,27,22,0.4155251141552511,0.3607305936073059,0.1232876712328767,0.1004566210045662
1131750,2220,121,123,20,19,0.4275618374558304,0.43462897526501765,0.0706713780918728,0.06713780918727916
1131751,2221,203,224,58,49,0.3801498127340824,0.41947565543071164,0.10861423220973783,0.09176029962546817
1131752,2222,83,144,26,38,0.2852233676975945,0.4948453608247423,0.08934707903780069,0.13058419243986255
1132017,2237,14,17,10,2,0.32558139534883723,0.3953488372093023,0.23255813953488372,0.046511627906976744
1132020,2240,123,92,29,17,0.47126436781609193,0.3524904214559387,0.1111111111111111,0.06513409961685823
1132031,2250,92,58,21,14,0.4972972972972973,0.31351351351351353,0.11351351351351352,0.07567567567567568
1132032,2251,59,24,11,10,0.5673076923076923,0.23076923076923078,0.10576923076923077,0.09615384615384616
1132033,2252,101,48,11,13,0.5838150289017341,0.2774566473988439,0.06358381502890173,0.07514450867052024
1132035,2253,47,32,11,7,0.4845360824742268,0.32989690721649484,0.1134020618556701,0.07216494845360824
1132038,2255,174,66,19,10,0.6468401486988847,0.24535315985130113,0.07063197026022305,0.03717472118959108
