CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
2090425,5515,831,152,158,0.0588235294117647
2090426,5516,2770,400,441,0.0788177339901478
2090430,5517,1440,201,162,0.0390243902439024
2090432,5518,2310,379,424,0.0859375
2090435,5519,3693,451,788,0.151315789473684
2090436,5520,2390,444,185,0.0337078651685393
2090438,5521,502,22,42,0.227272727272727
2090440,5522,1248,275,110,0.0535714285714286
2090441,5523,2366,474,158,0.0394190871369295
2090442,5524,3403,459,284,0.0747252747252747
2090443,5525,3117,453,265,0.0774336283185841
2090444,5526,1198,180,81,0.0388888888888889
2090445,5527,2707,406,150,0.0388349514563107
2090446,5528,3383,491,255,0.0501002004008016
2090448,5529,1979,363,107,0.0524861878453039
2090449,5530,2738,561,245,0.037037037037037
2090450,5531,1327,285,81,0.0559440559440559
2090451,5532,1458,241,121,0.0368852459016393
2090452,5533,3054,515,232,0.0501930501930502
2090453,5534,2,0,0,0.0
2090455,5535,0,0,0,0.0
2090456,5536,0,0,0,0.0
2110101,5537,469,129,109,0.083969465648855
2110201,5538,498,155,74,0.0662251655629139
2110202,5539,28,9,3,0.111111111111111
2110301,5540,626,246,67,0.0597609561752988
2110302,5541,26,9,0,0.0
2110303,5542,89,31,1,0.0
2110401,5543,440,115,93,0.0701754385964912
2110402,5544,136,42,9,0.0
2130001,5545,791,140,144,0.0145985401459854
2130002,5546,386,114,22,0.0517241379310345
2130003,5547,1579,84,355,0.0813953488372093
2130004,5548,1702,474,111,0.0146137787056367
213001,5549,2387,415,199,0.0360576923076923
213001,5550,2347,516,183,0.0232558139534884
213001,5551,2171,581,90,0.0154109589041096
213002,5552,2587,480,149,0.0167364016736402
213002,5553,827,108,56,0.0377358490566038
213003,5554,2924,740,186,0.0162162162162162
213003,5555,2046,503,88,0.0136186770428016
213003,5556,1670,365,120,0.0357142857142857
213003,5557,1249,365,82,0.0191256830601093
213004,5558,968,116,147,0.0521739130434783
213004,5559,1689,348,175,0.014367816091954
213004,5560,1139,258,58,0.0153256704980843
21301,5561,2193,618,108,0.0176848874598071
21301,5562,1444,254,58,0.0232558139534884
21301,5563,2871,591,149,0.0303030303030303
21303,5564,1952,522,71,0.0175097276264591
21303,5565,778,207,53,0.0147058823529412
21303,5566,1516,289,69,0.0346020761245675
21304,5567,2931,678,83,0.0131578947368421
21304,5568,1204,183,28,0.0054644808743169
21304,5569,3533,1073,204,0.0102707749766573
2132,5570,2843,501,178,0.025844930417495
2132,5571,2571,403,150,0.035
2132,5572,2445,421,158,0.028436018957346
2132,5573,2918,587,124,0.0236886632825719
2134,5574,1719,516,63,0.0153846153846154
2150001,5575,949,19,863,0.578947368421053
2150002,5576,2236,101,1776,0.41
2150003,5577,1208,39,1100,0.8
2150004,5578,3168,152,2727,0.724358974358974
2150005,5579,2029,39,1785,0.888888888888889
2150006,5580,2867,187,1924,0.439153439153439
2150007,5581,3314,206,2299,0.450236966824645
2150008,5582,2007,140,1152,0.355072463768116
2150009,5583,3139,212,2542,0.714953271028037
2150010,5584,2388,75,2038,0.794520547945205
2150011,5585,2048,33,1822,0.882352941176471
2150012,5586,231,17,202,0.882352941176471
2150013,5587,4168,197,3049,0.636363636363636
2150014,5588,1129,50,914,0.775510204081633
2150015,5589,791,36,646,0.486486486486487
2150016,5590,2326,30,2119,0.833333333333333
2150017,5591,1235,29,1161,0.785714285714286
2150018,5592,364,13,315,0.846153846153846
2150019,5593,181,24,127,0.708333333333333
2150020,5594,3791,63,3166,0.746031746031746
2150021,5595,539,18,474,0.666666666666667
2150022,5596,839,15,758,0.933333333333333
2150023,5597,2172,113,1705,0.509090909090909
2150024,5598,104,28,45,0.107142857142857
2150025,5599,2736,155,1832,0.503225806451613
2150026,5600,1001,27,840,0.678571428571429
2150027,5601,984,19,858,0.842105263157895
2150028,5602,3236,105,2677,0.686274509803922
2150029,5603,1606,134,1025,0.220588235294118
2150030,5604,5100,160,4146,0.807453416149068
2150031,5605,2472,129,1916,0.590909090909091
2150032,5606,2297,114,1939,0.710526315789474
2150033,5607,1456,52,1239,0.576923076923077
2150034,5608,916,46,742,0.760869565217391
2150035,5609,3267,111,2683,0.705357142857143
2150036,5610,3195,118,2817,0.82051282051282
2150037,5611,985,49,751,0.673469387755102
2150038,5612,3515,272,2530,0.614814814814815
2150039,5613,2269,42,2008,0.833333333333333
2150040,5614,2899,59,2638,0.847457627118644
2150041,5615,4299,94,3885,0.863157894736842
2150042,5616,3511,168,3020,0.744047619047619
2150043,5617,2196,73,1940,0.849315068493151
2150044,5618,2483,34,2184,0.75
2150045,5619,1451,89,961,0.362637362637363
2150046,5620,395,18,341,0.555555555555556
2150047,5621,1808,38,1619,0.945945945945946
2150048,5622,3575,96,3147,0.789473684210526
2150049,5623,2776,73,2306,0.756756756756757
2150050,5624,2545,74,2286,0.866666666666667
2150051,5625,2064,63,1850,0.952380952380952
2150052,5626,3558,232,2490,0.59656652360515
2150053,5627,3343,124,2909,0.774193548387097
2150054,5628,2068,168,1376,0.622754491017964
2150055,5629,2604,86,2318,0.835294117647059
2150056,5630,2601,74,2337,0.776315789473684
2150057,5631,953,25,825,0.857142857142857
2150058,5632,3872,130,3392,0.869230769230769
2150059,5633,2473,61,2202,0.733333333333333
2150060,5634,3701,86,3047,0.738095238095238
2150061,5635,2684,60,2292,0.754098360655738
2150062,5636,2573,274,1514,0.459558823529412
2150063,5637,851,33,708,0.666666666666667
2150064,5638,3332,30,2925,0.733333333333333
2150065,5639,2541,139,1863,0.597122302158273
2150066,5640,1267,60,1049,0.557377049180328
2150067,5641,2254,165,1559,0.383233532934132
2150068,5642,3976,154,3333,0.753164556962025
2150069,5643,5057,126,4318,0.757575757575758
2150070,5644,2223,54,2040,0.944444444444444
2150071,5645,205,5,162,0.4
2150072,5646,1281,85,979,0.670731707317073
2150073,5647,2810,275,1574,0.405797101449275
2150074,5648,1264,68,976,0.608695652173913
2150075,5649,109,12,82,0.583333333333333
2150076,5650,36,9,16,0.0
2150077,5651,1811,72,1439,0.547945205479452
2150078,5652,2216,88,1956,0.853932584269663
2150079,5653,1638,19,1427,0.947368421052632
2150080,5654,1079,18,976,1.0
2150081,5655,2438,173,1804,0.603448275862069
2150082,5656,7,0,7,0.0
2150083,5657,4127,364,2831,0.590163934426229
2150084,5658,2620,96,2080,0.737373737373737
2150085,5659,3820,145,3390,0.805555555555556
2150086,5660,671,38,528,0.82051282051282
2150087,5661,1744,28,1522,0.866666666666667
2150088,5662,2970,79,2633,0.873417721518987
2150089,5663,226,24,107,0.384615384615385
2150090,5664,4095,88,3690,0.823529411764706
2150091,5665,1088,52,960,0.769230769230769
2150092,5666,472,5,412,0.8
2150093,5667,254,16,147,0.352941176470588
2150094,5668,2755,69,2417,0.705882352941177
2150095,5669,4333,89,3777,0.887640449438202
2150096,5670,2819,226,1733,0.438053097345133
2150097,5671,2462,115,1981,0.704347826086957
2150098,5672,3933,115,3443,0.884955752212389
2150099,5673,4046,75,3520,0.792207792207792
2150100,5674,2811,120,2383,0.663865546218487
2150101,5675,785,87,543,0.569767441860465
2150102,5676,1113,128,392,0.16793893129771
2150103,5677,2975,246,2233,0.614107883817427
2150104,5678,3491,94,3017,0.744444444444444
2150105,5679,3460,159,2810,0.672955974842767
2150106,5680,2468,132,1764,0.616541353383459
2150107,5681,2331,95,1880,0.628865979381443
2150108,5682,2319,47,2040,0.847826086956522
2150109,5683,3394,83,2649,0.807228915662651
2150110,5684,1432,25,1251,0.88
2150111,5685,2266,151,1717,0.613333333333333
2150112,5686,1773,31,1574,0.903225806451613
2150113,5687,4493,225,3598,0.648648648648649
2150114,5688,3925,371,2541,0.389645776566757
2150115,5689,2883,84,2520,0.869047619047619
2150116,5690,2419,116,1851,0.443478260869565
2150117,5691,3291,76,2899,0.805194805194805
2150118,5692,2343,100,1992,0.777777777777778
2150119,5693,1335,40,1200,0.743589743589744
2150120,5694,2383,96,2114,0.808080808080808
2150121,5695,266,13,228,0.846153846153846
2150122,5696,2749,48,2357,0.846153846153846
2150123,5697,875,51,683,0.431372549019608
2150124,5698,1334,103,887,0.435643564356436
2150125,5699,1253,41,1089,0.829268292682927
2150126,5700,1728,97,1169,0.322916666666667
2150127,5701,1044,23,955,0.869565217391304
2150128,5702,2500,48,2186,0.875
2150129,5703,165,18,112,0.5
2150130,5704,1464,97,1180,0.412371134020619
2150131,5705,25,2,21,1.0
2150132,5706,1007,26,937,0.962962962962963
2150133,5707,133,4,119,1.0
2150134,5708,2454,245,1321,0.410358565737052
2150135,5709,1856,103,1214,0.584158415841584
2150136,5710,1612,129,1137,0.484375
2150137,5711,44,6,30,0.333333333333333
2150138,5712,484,8,434,0.75
2150139,5713,482,13,365,0.5
2150140,5714,11,0,10,0.0
2150141,5715,234,4,172,0.666666666666667
2150142,5716,2335,82,2060,0.773809523809524
2150143,5717,3498,137,2803,0.640287769784173
2150144,5718,44,0,38,0.0
2150145,5719,1093,24,991,0.916666666666667
2150146,5720,2448,42,2091,0.761904761904762
2150147,5721,202,7,157,0.75
