CNTYVTD,VTDKEY,CruzR_24P_U.S. Sen,GibsonR_24P_U.S. Sen,LopezR_24P_U.S. Sen
0291092,345,35,8,2
0291093,346,73,4,4
0291094,347,67,7,6
0291095,348,9,3,0
0291096,349,1,1,0
0291097,350,28,0,3
0291098,351,27,5,10
0291099,352,144,8,10
0291100,353,147,10,4
0291101,354,0,0,0
0291102,355,71,6,6
0291103,356,86,10,10
0291104,357,231,20,20
0291105,358,34,3,8
0291106,359,0,0,0
0291107,360,195,13,4
0291108,361,124,6,11
0291109,362,1,1,0
0291110,363,137,5,9
0291111,364,175,22,17
0291112,365,97,12,6
0291113,366,125,11,10
0291114,367,14,0,1
0291115,368,53,2,3
0291116,369,87,7,7
0291117,370,17,0,2
0291118,371,319,23,15
0291119,372,4,2,0
0291120,373,2,0,0
0291121,374,198,27,24
0291122,375,225,30,14
0291122,376,11,2,1
0291123,377,46,4,2
0291124,378,6,0,1
0291125,379,165,17,11
0291126,380,0,0,0
0291127,381,15,2,3
0291128,382,104,11,4
0291129,383,241,26,26
0291130,384,0,0,0
0291131,385,0,0,0
0291132,386,20,0,3
0291133,387,0,0,0
0291134,388,0,0,0
0291135,389,0,0,0
0291136,390,3,2,1
0291137,391,0,0,0
0291138,392,22,3,5
0291139,393,90,7,3
0291140,394,49,3,8
0291141,395,149,19,16
0291142,396,65,4,4
0291143,397,249,17,20
0291144,398,890,54,64
0291145,399,133,6,8
0291146,400,16,2,0
0291147,401,106,7,8
0291148,402,25,2,1
0291149,403,107,8,10
0291150,404,139,14,15
0291151,405,160,20,13
0291152,406,151,10,6
0291153,407,126,12,7
0291154,408,148,13,20
0291154,409,0,0,0
0291154,410,2,0,0
0291155,411,49,5,2
0291156,412,195,22,11
0291157,413,61,3,3
0291158,414,38,5,5
0291159,415,7,0,0
0292001,416,14,3,1
0292002,417,13,1,1
0292003,418,33,1,3
0292004,419,45,3,4
0292005,420,19,5,3
0292006,421,0,0,0
0292007,422,18,2,2
0292008,423,13,0,2
0292009,424,43,3,2
0292010,425,81,9,8
0292011,426,20,2,5
0292012,427,20,0,3
0292013,428,34,2,6
0292014,429,24,5,3
0292015,430,28,2,6
0292016,431,9,0,2
0292017,432,10,1,1
0292018,433,29,4,2
0292019,434,20,1,4
0292020,435,50,5,8
0292021,436,56,2,1
0292022,437,43,1,1
0292023,438,65,3,6
0292024,439,67,10,6
0292025,440,85,7,14
0292026,441,110,13,5
0292027,442,68,11,8
0292028,443,117,10,13
0292029,444,17,1,3
0292030,445,30,0,3
0292031,446,23,0,0
0292032,447,9,1,0
0292033,448,13,1,1
0292034,449,11,2,4
0292035,450,54,12,12
0292036,451,124,24,31
0292037,452,138,18,16
0292038,453,94,8,10
0292039,454,21,6,8
0292040,455,97,11,6
0292041,456,90,6,8
0292042,457,42,2,3
0292043,458,19,1,1
0292044,459,67,6,4
0292045,460,51,9,9
0292046,461,83,8,11
0292047,462,67,5,6
0292048,463,27,4,6
0292049,464,105,4,12
0292050,465,88,7,8
0292051,466,23,4,2
0292052,467,17,0,1
0292053,468,31,1,4
0292054,469,58,4,6
0292055,470,50,10,10
0292056,471,45,3,3
0292057,472,65,4,8
0292058,473,51,5,5
0292059,474,73,6,6
0292060,475,65,9,7
0292061,476,70,3,8
0292062,477,69,4,6
0292063,478,297,19,24
0292064,479,133,12,10
0292065,480,80,11,7
0292065,481,5,0,0
0292066,482,372,34,26
0292067,483,8,1,0
0292068,484,321,19,31
0292069,485,138,9,8
0292070,486,31,1,4
0292071,487,11,0,2
0292072,488,238,20,16
0292073,489,51,3,4
0292074,490,13,2,2
0292075,491,17,0,1
0292076,492,206,8,23
0292077,493,176,18,7
0292078,494,142,8,17
0292079,495,6,0,0
0292080,496,56,4,5
0292081,497,39,2,5
0292082,498,85,4,9
0292083,499,35,1,4
0292084,500,456,31,39
0292085,501,62,6,5
0292086,502,257,23,36
0292087,503,224,10,16
0292088,504,221,16,18
0292089,505,6,1,0
0292090,506,39,5,5
0292091,507,89,11,8
0292092,508,30,3,4
0292093,509,62,9,8
0292094,510,20,4,1
0292095,511,206,17,20
0292096,512,71,9,8
0292097,513,132,14,15
0292098,514,92,6,9
0292099,515,145,15,16
0292100,516,55,4,4
0292101,517,8,1,1
0292102,518,227,18,16
0292103,519,3,0,0
0292104,520,8,1,0
0292105,521,10,0,0
0292106,522,21,1,3
0292107,523,162,11,14
0292108,524,156,13,11
0292109,525,0,0,0
0292110,526,101,9,5
0292111,527,45,5,1
0292112,528,135,5,9
0292113,529,2,0,0
0292114,530,95,6,3
0292115,531,384,22,26
0292116,532,0,0,0
0292117,533,9,2,2
0292118,534,0,0,0
0292119,535,4,0,1
0292120,536,254,29,22
0292121,537,27,0,3
0292122,538,43,5,1
0292123,539,133,7,11
0292124,540,46,3,9
0292125,541,303,30,24
0292126,542,76,4,1
0292127,543,216,25,24
0292128,544,28,5,3
0292129,545,0,0,0
0292130,546,115,14,10
0292131,547,23,3,1
0292132,548,0,0,0
0292133,549,33,0,1
0292134,550,37,6,2
0292135,551,15,2,3
0292136,552,227,34,28
0292137,553,63,7,4
0292138,554,53,5,6
0292139,555,146,19,9
0292140,556,56,8,4
0292141,557,109,9,9
0292142,558,20,2,1
0292143,559,160,14,13
0292144,560,107,15,12
0292145,561,28,1,5
0292146,562,2,0,0
0292147,563,35,1,2
0292148,564,121,12,17
0292149,565,63,10,11
0292150,566,0,0,0
0292151,567,1,0,0
0292152,568,15,1,4
0292153,569,7,2,2
0292154,570,192,25,20
0292155,571,0,0,0
0292156,572,37,6,4
0292157,573,0,0,0
