CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout,Turnout_Rate
50011,38,2188,1663,69,0.0223356732610083,0.7600548446069469
50012,39,890,586,64,0.0543293718166384,0.6584269662921348
50013,40,716,435,112,0.125,0.6075418994413407
50014,41,1938,1360,203,0.085419734904271,0.7017543859649122
50015,42,691,481,155,0.184265010351967,0.6960926193921853
50016,43,2255,1231,881,0.323240589198036,0.5458980044345898
50017,44,1592,1199,29,0.0158730158730159,0.753140703517588
50018,45,725,464,60,0.0567685589519651,0.64
50019,46,1423,1083,72,0.041970802919708,0.7610681658468025
50020,47,2832,1363,570,0.155044510385757,0.4812853107344633
50021,48,741,510,23,0.0753968253968254,0.6882591093117408
50022,49,1874,1338,82,0.0335570469798658,0.7139807897545357
50023,50,510,394,32,0.0326633165829146,0.7725490196078432
50024,51,2719,1679,341,0.0970988750740083,0.6175064361897756
50025,52,2389,1558,277,0.0900900900900901,0.6521557136877355
50026,53,1620,1245,81,0.0478850758180367,0.7685185185185185
50027,54,356,284,13,0.0460992907801418,0.797752808988764
50028,55,1160,847,154,0.104582843713279,0.7301724137931035
50029,56,1569,1094,89,0.0430009149130833,0.6972594008922881
50030,57,1089,758,23,0.0185185185185185,0.6960514233241506
50031,58,480,288,113,0.210344827586207,0.6
50032,59,27,20,0,0.0,0.7407407407407407
50033,60,1539,1109,32,0.0170250896057348,0.7205977907732294
50034,61,2280,1594,148,0.0575719649561952,0.6991228070175438
50035,62,1898,1380,121,0.0559593023255814,0.7270811380400422
50037,63,536,373,61,0.0894736842105263,0.6958955223880597
50038,64,437,292,68,0.142857142857143,0.6681922196796338
50039,65,552,348,49,0.0847953216374269,0.6304347826086957
50040,66,757,485,88,0.106694560669456,0.6406869220607662
5011,67,1290,750,43,0.0279465370595383,0.5813953488372093
5017,68,488,317,6,0.0128205128205128,0.6495901639344263
70001,69,2422,1653,310,0.107378524295141,0.6824938067712634
70002,70,3944,2327,1200,0.242281303602058,0.5900101419878296
70003,71,4567,3290,448,0.0787567893783947,0.7203853733304139
70004,72,4202,3027,374,0.0724590163934426,0.7203712517848644
7001,73,1962,1108,410,0.162727272727273,0.564729867482161
7004,74,1162,885,98,0.0731707317073171,0.7616179001721171
90001,75,1437,1013,53,0.0190763052208835,0.7049408489909533
90002,76,813,637,24,0.0234009360374415,0.7835178351783518
90003,77,385,287,24,0.0272108843537415,0.7454545454545455
90004,78,674,532,47,0.0264150943396226,0.7893175074183977
90005,79,184,147,2,0.0342465753424658,0.7989130434782609
90006,80,1202,847,38,0.0225385527876631,0.7046589018302829
90007,81,229,153,8,0.0394736842105263,0.6681222707423581
90008,82,343,266,12,0.0265151515151515,0.7755102040816326
90009,83,157,125,3,0.0161290322580645,0.7961783439490446
90010,84,815,623,28,0.0257234726688103,0.7644171779141105
90011,85,29,18,9,0.0526315789473684,0.6206896551724138
90012,86,87,57,0,0.0714285714285714,0.6551724137931034
90013,87,147,115,0,0.008695652173913,0.782312925170068
110101,88,386,291,16,0.0357142857142857,0.7538860103626943
110201,89,248,171,12,0.0406976744186047,0.6895161290322581
110202,90,91,71,1,0.0142857142857143,0.7802197802197802
110301,91,331,254,12,0.0236220472440945,0.7673716012084593
110303,92,58,43,2,0.0,0.7413793103448276
110401,93,156,123,5,0.0241935483870968,0.7884615384615384
