CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
270311,233,3115,2257,259,0.0609271523178808
270312,234,2161,1484,305,0.109543010752688
270313,235,4495,3186,397,0.0835164835164835
270314,236,3375,1839,602,0.150195421552205
270315,237,3645,2515,604,0.122786304604486
270317,238,1537,1095,144,0.0818926296633303
270318,239,4633,3203,593,0.125694873378629
270319,240,3278,2351,337,0.0885968630775752
270401,241,2934,1770,365,0.10732538330494
270402,242,4725,2865,629,0.114126652748782
270404,243,4830,2325,781,0.14509122502172
270405,244,5209,2507,807,0.145180967873119
270406,245,3620,1562,537,0.139068564036223
270408,246,4900,2499,720,0.13693113169553
270409,247,2173,1392,311,0.12615823235923
270410,248,3601,1198,614,0.168539325842697
270412,249,4098,1938,551,0.129774986917844
270413,250,4469,2442,602,0.136252045826514
270414,251,4950,2402,716,0.134542387178406
270415,252,4197,2115,557,0.138013371537727
270419,253,1162,842,90,0.0773739742086753
291001,254,496,339,229,0.456973293768546
291002,255,685,478,366,0.519396551724138
291003,256,2263,1402,1363,0.564216778025241
291004,257,940,486,769,0.794297352342159
291005,258,857,457,728,0.833333333333333
291006,259,2185,1175,1912,0.874570446735395
291007,260,1309,784,1144,0.873533246414602
291008,261,1934,1305,977,0.473724884080371
291009,262,1770,1198,839,0.488759367194005
291010,263,641,405,453,0.638613861386139
291011,264,1179,583,1030,0.833333333333333
291012,265,2289,1251,1525,0.661251015434606
291013,266,2541,1343,2232,0.886676875957121
291014,267,1436,655,1240,0.866666666666667
291015,268,1486,733,1343,0.896408839779006
291016,269,1254,604,1101,0.903225806451613
291017,270,264,148,149,0.516778523489933
291018,271,1003,488,853,0.828865979381443
291019,272,929,426,722,0.705314009661836
291020,273,1726,932,1268,0.801086956521739
291021,274,1744,910,1491,0.855421686746988
291022,275,985,499,843,0.860082304526749
291023,276,2673,1227,2399,0.901326699834162
291024,277,3230,2067,1915,0.575457694210787
291025,278,770,299,686,0.897959183673469
291026,279,1344,632,1176,0.872374798061389
291027,280,434,309,203,0.478527607361963
291028,281,787,415,649,0.818181818181818
291029,282,2019,1070,1707,0.869274809160305
291030,283,81,43,39,0.553191489361702
291031,284,1577,789,1347,0.85880829015544
291032,285,2520,1164,2206,0.881385281385281
291033,286,2228,1033,1493,0.652859960552268
291034,287,4352,3156,1360,0.322530383296977
291035,288,1148,474,116,0.089622641509434
291036,289,3729,2137,2180,0.560497369679579
291037,290,2648,1303,1794,0.688291139240506
291038,291,3254,1876,2209,0.677044854881267
291039,292,3350,1407,2698,0.798496240601504
291040,293,2830,1278,2429,0.842482100238663
291041,294,2430,1074,2112,0.859035004730369
291042,295,1213,629,1094,0.911908646003263
291043,296,1620,931,1151,0.700221238938053
291044,297,2127,1269,1865,0.865814696485623
291045,298,3427,1921,2871,0.85239852398524
291046,299,2127,1146,1774,0.833922261484099
291047,300,1796,905,1510,0.854282536151279
291048,301,2309,1240,1871,0.821608040201005
291049,302,2673,1379,2224,0.827151335311573
291050,303,860,495,681,0.740740740740741
291051,304,2140,1141,1566,0.707678883071553
291052,305,2124,1257,1617,0.74331983805668
291053,306,260,129,188,0.7109375
291054,307,2592,1532,2007,0.776409591704472
291055,308,2038,1414,987,0.487455197132616
291056,309,3312,1955,2518,0.75615763546798
291057,310,2544,1365,1522,0.549853372434018
291058,311,2814,1526,1860,0.653569089718402
291059,312,503,246,333,0.695652173913043
291060,313,3033,1618,2644,0.868769716088328
291061,314,2817,1349,2220,0.780546623794212
291062,315,192,100,128,0.578947368421053
291063,316,2340,1229,1550,0.629843363561418
291064,317,1313,723,918,0.674515235457064
291065,318,2429,1442,1705,0.653631284916201
291066,319,857,453,635,0.682119205298013
291067,320,3265,2002,1961,0.537425149700599
291068,321,2159,1312,1154,0.487649964714185
291069,322,490,386,225,0.476315789473684
291070,323,1227,620,767,0.650254668930391
291071,324,2024,1218,1180,0.582362728785358
291072,325,2165,1248,1031,0.511092851273624
291073,326,3759,2497,1391,0.391515151515152
291074,327,24,11,18,0.666666666666667
291075,328,2428,1166,1822,0.730934018851757
291076,329,2994,1803,1670,0.548622821810006
291077,330,1688,942,1446,0.861771058315335
291078,331,517,275,461,0.871323529411765
291079,332,2711,1739,1223,0.49188876013905
291080,333,3324,1973,1623,0.544569672131147
291081,334,1901,1315,361,0.170676691729323
291082,335,3185,1916,2031,0.584615384615385
291083,336,2783,1924,1369,0.503892060197198
291084,337,2143,1103,1536,0.6937441643324
291085,338,1811,930,1221,0.684095860566449
291086,339,2507,1507,1565,0.608433734939759
291087,340,1711,903,1185,0.683035714285714
291088,341,1025,485,895,0.881856540084388
291089,342,59,31,53,0.774193548387097
291090,343,0,0,0,0.0
291091,344,2319,1442,1833,0.788990825688073
291092,345,1194,646,949,0.795795795795796
291093,346,1230,843,463,0.389578163771712
291094,347,2598,1583,1537,0.602959309494451
291095,348,370,173,43,0.119205298013245
291096,349,142,76,96,0.64367816091954
291097,350,853,429,742,0.852028639618138
291098,351,1211,681,910,0.698956780923994
291099,352,2918,2020,1458,0.512833417211877
291100,353,2892,1906,1481,0.521739130434783
291101,354,0,0,0,0.0
291102,355,1052,626,597,0.55
291103,356,850,577,318,0.349673202614379
291104,357,3279,2239,1733,0.534443944169293
291105,358,756,429,524,0.704288939051919
291106,359,0,0,0,0.0
291107,360,3210,1771,2224,0.654957507082153
291108,361,1971,1370,778,0.4
291109,362,3,3,1,0.5
291110,363,3057,2008,1369,0.46310054482417
291111,364,3747,2642,1879,0.501722158438576
291112,365,2475,1537,1449,0.574869791666667
291113,366,3135,2021,1134,0.375247524752475
291114,367,49,41,37,0.777777777777778
291115,368,1189,660,999,0.78858024691358
291116,369,1379,970,530,0.373072970195272
291117,370,366,204,288,0.770334928229665
291118,371,3178,2438,1191,0.39644513137558
291119,372,146,76,111,0.721518987341772
291120,373,164,88,133,0.802197802197802
291121,374,3532,2490,1236,0.36
291122,375,2837,2105,1067,0.349002849002849
291122,376,137,101,26,0.346534653465347
291123,377,620,353,390,0.626062322946176
291124,378,234,124,191,0.821138211382114
291125,379,2190,1577,888,0.415374677002584
291126,380,0,0,0,0.0
291127,381,631,300,536,0.846938775510204
291128,382,1670,1029,856,0.528531337698784
291129,383,2189,1756,736,0.353870458135861
291130,384,0,0,0,0.0
291131,385,0,0,0,0.0
291132,386,557,316,379,0.737179487179487
291133,387,4,2,1,0.0
291134,388,0,0,0,0.0
291135,389,1,0,1,0.0
291136,390,143,69,93,0.686046511627907
291137,391,0,0,0,0.0
291138,392,1042,539,452,0.427238805970149
291139,393,1842,1166,1122,0.560487380330722
291140,394,1278,829,631,0.511029411764706
291141,395,2400,1662,1021,0.434157561817136
291142,396,2227,1307,1376,0.605873261205564
291143,397,3559,2495,1219,0.355252606255012
291144,398,2615,2296,284,0.108189655172414
291145,399,736,548,212,0.285714285714286
291146,400,180,108,113,0.676470588235294
291147,401,2696,1769,1398,0.520477815699659
291148,402,920,553,492,0.5451197053407
291149,403,2262,1512,1143,0.51078167115903
291150,404,2642,1769,1161,0.471251409244645
291151,405,2370,1740,837,0.357582540570789
