CNTYVTD,VTDKEY,AllredD_20G_U.S. Rep 32,CollinsR_20G_U.S. Rep 32,Mowrey PetersonL_20G_U.S. Rep 32,SigmonI_20G_U.S. Rep 32,AllredD_20G_U.S. Rep 32_Percentage,CollinsR_20G_U.S. Rep 32_Percentage,Mowrey PetersonL_20G_U.S. Rep 32_Percentage,SigmonI_20G_U.S. Rep 32_Percentage
1131716,2186,667,900,22,10,0.4171357098186366,0.5628517823639775,0.013758599124452783,0.006253908692933083
1131717,2187,1248,758,52,21,0.6002886002886003,0.3645983645983646,0.025012025012025013,0.010101010101010102
1131718,2188,514,516,18,12,0.4849056603773585,0.4867924528301887,0.016981132075471698,0.011320754716981131
1131721,2191,805,715,20,13,0.5183515775917579,0.4603992273019961,0.0128783000643915,0.008370895041854474
1131722,2192,1186,541,47,18,0.6618303571428571,0.30189732142857145,0.026227678571428572,0.010044642857142858
1131723,2193,76,32,5,1,0.6666666666666666,0.2807017543859649,0.043859649122807015,0.008771929824561403
1131724,2194,48,16,1,2,0.7164179104477612,0.23880597014925373,0.014925373134328358,0.029850746268656716
1131725,2195,153,213,5,1,0.4112903225806452,0.5725806451612904,0.013440860215053764,0.002688172043010753
1131726,2196,706,476,25,14,0.5782145782145782,0.38984438984438985,0.020475020475020474,0.011466011466011465
1131727,2197,100,49,3,3,0.6451612903225806,0.3161290322580645,0.01935483870967742,0.01935483870967742
1131729,2199,636,320,22,11,0.6430738119312437,0.3235591506572295,0.022244691607684528,0.011122345803842264
1131732,2202,520,348,11,9,0.5855855855855856,0.3918918918918919,0.012387387387387387,0.010135135135135136
1131733,2203,1301,962,40,24,0.5590889557370005,0.4134078212290503,0.017189514396218308,0.010313708637730984
1131734,2204,487,499,11,14,0.4817012858555885,0.49357072205736896,0.010880316518298714,0.013847675568743818
1131735,2205,1637,1668,50,34,0.4830333431690764,0.4921805842431396,0.014753614635585718,0.010032457952198289
1131736,2206,548,858,15,3,0.3848314606741573,0.6025280898876404,0.010533707865168539,0.002106741573033708
1131737,2207,1559,2304,39,17,0.3978055626435315,0.587905077825976,0.009951518244450114,0.004337841286042358
1131738,2208,997,803,42,22,0.5348712446351931,0.43079399141630903,0.022532188841201718,0.011802575107296138
1131739,2209,1146,907,22,21,0.5467557251908397,0.4327290076335878,0.01049618320610687,0.010019083969465648
1131740,2210,1698,1170,50,27,0.5765704584040747,0.39728353140916806,0.01697792869269949,0.009168081494057725
