CNTYVTD,VTDKEY,DavisR_22P_U.S. Rep 32,DayR_22P_U.S. Rep 32,NamdarR_22P_U.S. Rep 32,OkpaR_22P_U.S. Rep 32,SwadR_22P_U.S. Rep 32,WebbR_22P_U.S. Rep 32,DavisR_22P_U.S. Rep 32_Percentage,DayR_22P_U.S. Rep 32_Percentage,NamdarR_22P_U.S. Rep 32_Percentage,OkpaR_22P_U.S. Rep 32_Percentage,SwadR_22P_U.S. Rep 32_Percentage,WebbR_22P_U.S. Rep 32_Percentage
1131086,2071,2,2,0,0,3,0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.42857142857142855,0.0
1131087,2072,4,6,3,2,21,10,0.08695652173913043,0.13043478260869565,0.06521739130434782,0.043478260869565216,0.45652173913043476,0.21739130434782608
1131088,2073,5,4,0,1,19,10,0.1282051282051282,0.10256410256410256,0.0,0.02564102564102564,0.48717948717948717,0.2564102564102564
1131089,2074,6,0,1,0,6,3,0.375,0.0,0.0625,0.0,0.375,0.1875
1131091,2076,2,3,1,0,21,4,0.06451612903225806,0.0967741935483871,0.03225806451612903,0.0,0.6774193548387096,0.12903225806451613
1131092,2077,7,5,0,1,13,8,0.20588235294117646,0.14705882352941177,0.0,0.029411764705882353,0.38235294117647056,0.23529411764705882
1131093,2078,2,0,2,0,8,1,0.15384615384615385,0.0,0.15384615384615385,0.0,0.6153846153846154,0.07692307692307693
1131097,2082,8,7,4,1,26,15,0.13114754098360656,0.11475409836065574,0.06557377049180328,0.01639344262295082,0.4262295081967213,0.2459016393442623
1131098,2083,6,4,0,0,16,4,0.2,0.13333333333333333,0.0,0.0,0.5333333333333333,0.13333333333333333
1131099,2084,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1131104,2089,4,4,0,1,12,5,0.15384615384615385,0.15384615384615385,0.0,0.038461538461538464,0.46153846153846156,0.19230769230769232
1131105,2090,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0
1131106,2091,0,0,0,0,5,0,0.0,0.0,0.0,0.0,1.0,0.0
1131107,2092,1,1,0,0,5,3,0.1,0.1,0.0,0.0,0.5,0.3
1131110,2095,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1131114,2098,0,0,1,0,1,2,0.0,0.0,0.25,0.0,0.25,0.5
1131115,2099,7,5,5,0,22,10,0.14285714285714285,0.10204081632653061,0.10204081632653061,0.0,0.4489795918367347,0.20408163265306123
1131116,2100,7,8,3,5,35,12,0.1,0.11428571428571428,0.04285714285714286,0.07142857142857142,0.5,0.17142857142857143
1131121,2101,5,5,3,4,28,11,0.08928571428571429,0.08928571428571429,0.05357142857142857,0.07142857142857142,0.5,0.19642857142857142
1131125,2103,14,12,6,3,51,20,0.1320754716981132,0.11320754716981132,0.05660377358490566,0.02830188679245283,0.4811320754716981,0.18867924528301888
1131129,2105,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1131133,2106,5,1,6,0,18,8,0.13157894736842105,0.02631578947368421,0.15789473684210525,0.0,0.47368421052631576,0.21052631578947367
1131134,2107,0,1,0,0,1,0,0.0,0.5,0.0,0.0,0.5,0.0
1131135,2108,1,1,1,2,7,6,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.3888888888888889,0.3333333333333333
1131137,2110,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1131151,2120,0,0,0,0,3,2,0.0,0.0,0.0,0.0,0.6,0.4
1131153,2121,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1131159,2122,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1131162,2123,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1131163,2124,20,8,13,8,51,27,0.15748031496062992,0.06299212598425197,0.10236220472440945,0.06299212598425197,0.4015748031496063,0.2125984251968504
1131164,2125,44,25,48,22,152,40,0.13293051359516617,0.0755287009063444,0.14501510574018128,0.06646525679758308,0.459214501510574,0.12084592145015106
1131165,2126,23,23,14,13,88,34,0.11794871794871795,0.11794871794871795,0.07179487179487179,0.06666666666666667,0.4512820512820513,0.17435897435897435
1131168,2127,48,32,31,20,141,58,0.14545454545454545,0.09696969696969697,0.09393939393939393,0.06060606060606061,0.42727272727272725,0.17575757575757575
1131169,2128,35,22,25,20,130,41,0.1282051282051282,0.08058608058608059,0.09157509157509157,0.07326007326007326,0.47619047619047616,0.15018315018315018
1131170,2129,19,13,9,18,56,26,0.1347517730496454,0.09219858156028368,0.06382978723404255,0.1276595744680851,0.3971631205673759,0.18439716312056736
