CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
0291015,268,1427,30,1283,0.833333333333333
0291016,269,1207,21,1066,0.952380952380952
0291017,270,279,17,151,0.473684210526316
0291018,271,988,21,830,0.714285714285714
0291019,272,894,21,671,0.333333333333333
0291020,273,1771,80,1390,0.548780487804878
0291021,274,1709,34,1457,0.696969696969697
0291022,275,937,22,808,0.863636363636364
0291023,276,2591,49,2333,0.808510638297872
0291024,277,3107,175,1854,0.395480225988701
0291025,278,725,8,657,1.0
0291026,279,1301,21,1139,0.904761904761905
0291027,280,526,14,262,0.363636363636364
0291028,281,760,19,619,0.619047619047619
0291029,282,1931,46,1629,0.826086956521739
0291030,283,110,1,67,1.0
0291031,284,1525,38,1309,0.736842105263158
0291032,285,2450,31,2140,0.862068965517241
0291033,286,2186,74,1478,0.486111111111111
0291034,287,4999,272,1646,0.277580071174377
0291035,288,1009,14,110,0.0666666666666667
0291036,289,3600,202,2167,0.337962962962963
0291037,290,2512,88,1748,0.561797752808989
0291038,291,3391,143,2335,0.4375
0291039,292,3270,56,2642,0.518518518518518
0291040,293,2726,54,2321,0.66
0291041,294,2357,44,2038,0.86046511627907
0291042,295,1177,34,1058,0.891891891891892
0291043,296,1614,70,1158,0.478260869565217
0291044,297,2066,77,1816,0.810810810810811
0291045,298,3293,98,2782,0.795918367346939
0291046,299,2087,46,1737,0.717391304347826
0291047,300,1763,46,1485,0.695652173913043
0291048,301,2289,74,1869,0.675675675675676
0291049,302,2569,71,2120,0.722222222222222
0291050,303,846,32,676,0.67741935483871
0291051,304,2066,109,1539,0.540540540540541
0291052,305,2117,101,1623,0.45
0291053,306,256,15,190,0.666666666666667
0291054,307,2646,89,2064,0.608695652173913
0291055,308,1992,135,973,0.488888888888889
0291056,309,3634,168,2761,0.68452380952381
0291057,310,2591,144,1581,0.347517730496454
0291058,311,2855,167,1901,0.456140350877193
0291059,312,458,18,307,0.470588235294118
0291060,313,2992,62,2593,0.838709677419355
0291061,314,2822,47,2233,0.58695652173913
0291062,315,212,9,148,0.333333333333333
0291063,316,2391,174,1595,0.382857142857143
0291064,317,1288,75,910,0.373333333333333
0291065,318,2427,163,1723,0.403614457831325
0291066,319,870,38,628,0.307692307692308
0291067,320,3381,296,2064,0.254838709677419
0291068,321,3222,110,1664,0.313559322033898
0291069,322,480,66,212,0.328358208955224
0291070,323,1130,36,737,0.525
0291071,324,1975,82,1189,0.325301204819277
0291072,325,2035,78,990,0.576923076923077
0291073,326,3752,193,1453,0.264248704663212
0291074,327,22,0,16,0.0
0291075,328,2453,57,1839,0.5
0291076,329,2924,169,1666,0.396341463414634
0291077,330,1666,43,1434,0.80952380952381
0291078,331,520,9,462,0.777777777777778
0291079,332,2662,83,1242,0.404761904761905
0291080,333,2922,52,1441,0.285714285714286
0291081,334,2179,342,522,0.0848806366047745
0291082,335,3199,136,2088,0.604477611940298
0291083,336,2764,184,1375,0.32972972972973
0291084,337,1997,81,1441,0.560975609756098
0291085,338,1741,54,1178,0.464285714285714
0291086,339,2467,125,1575,0.491803278688525
0291087,340,1665,52,1157,0.622641509433962
0291088,341,978,24,851,1.0
0291089,342,51,3,43,0.666666666666667
0291090,343,0,0,0,0.0
0291091,344,2377,96,1860,0.587628865979381
0291092,345,1416,28,1110,0.758620689655172
0291093,346,1346,74,529,0.328947368421053
0291094,347,2960,82,1806,0.409638554216867
0291095,348,350,6,46,0.166666666666667
0291096,349,168,2,119,1.0
0291097,350,843,27,728,0.777777777777778
0291098,351,1193,34,891,0.645161290322581
0291099,352,2844,167,1429,0.323353293413174
0291100,353,2928,166,1516,0.449704142011834
0291101,354,0,0,0,0.0
0291102,355,1109,67,638,0.292307692307692
0291103,356,1126,51,467,0.203703703703704
0291104,357,3170,257,1666,0.396078431372549
0291105,358,807,32,584,0.4
0291106,359,0,0,0,0.0
0291107,360,3264,168,2252,0.421965317919075
0291108,361,1898,126,800,0.26984126984127
0291109,362,4,1,2,0.0
0291110,363,3273,114,1509,0.445378151260504
0291111,364,3446,192,1794,0.348958333333333
0291112,365,2738,106,1596,0.423076923076923
0291113,366,3022,161,1167,0.32
0291114,367,169,10,128,0.5
0291115,368,1077,50,863,0.7
0291116,369,1448,82,589,0.364705882352941
0291117,370,356,22,290,0.652173913043478
0291118,371,3938,212,1570,0.255707762557078
0291119,372,145,4,110,0.75
0291120,373,170,3,139,1.0
0291121,374,3603,187,1288,0.348958333333333
